web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25
"1788937663-54","https://poe2db.tw/us/Keywords","Stun","Light Stun","Heavily Stunned","","Hits against any target can potentially cause a Stun on that target, depending on the damage dealt. Stunning a target interrupts their current action and prevents them from taking actions for a short time. There are two types of Stun:



Light Stuns last a fraction of a second but can be inflicted frequently. Any Hit has a chance to cause a Light Stun. The chance is based on the damage dealt, up to 100% base chance for Hits that deal 100% of the target's maximum Life. Chances lower than 15% are treated as 0%.



Heavy Stuns occur when a target's Stun bar is filled and last multiple seconds. Hits cause Heavy Stun buildup based on the damage dealt. Players and their Minions usually cannot be Heavily Stunned, but players can receive Heavy Stun buildup where specifically mentioned while taking specific actions (such as raising their Shield, Parrying with a Buckler, or riding a mount).



Player Physical damage and Melee Damage each have 50% more Light Stun chance and Heavy Stun buildup. These bonuses are multiplicative with each other.

Monster Physical damage and Melee Damage have 100% more and 33% more Light Stun chance and Heavy Stun buildup respectively. These bonuses are multiplicative with each other.","","","","","","","Physical","","","Melee","","","","","","Buckler","","Shield","Minions",""
"1788937663-55","https://poe2db.tw/us/Keywords","Light Stun","","","","Any Hit has a chance to Light Stun the target, interrupting their current action and preventing them from taking actions for a fraction of a second. The chance is based on the damage dealt, up to 100% base chance for Hits that deal 100% of the target's maximum Life. Chances lower than 15% are treated as 0%.



Physical damage, and player (but not monster) Melee Damage, each have 50% more Light Stun chance. For players, these bonuses are multiplicative with each other.","","","","","","","","","","","","","","","","","","","",""
"1788937663-56","https://poe2db.tw/us/Keywords","Heavy Stun","","Immobilised","","Heavy Stuns occur when a target's Stun bar is filled, interrupts the target's current action and prevent them from taking actions for a few seconds. Hits cause Heavy Stun buildup based on the damage dealt. Players and their Minions usually cannot be Heavily Stunned, but players can receive Heavy Stun buildup where specifically mentioned while taking specific actions (such as raising their Shield, Parrying with a Buckler, or riding a mount).



While an enemy is Heavy Stunned, they cannot act and count as Immobilised. It will also be harder to Heavy Stun them again for a short time afterwards.



Physical damage, and player (but not monster) Melee Damage, each cause 50% more Heavy Stun buildup. For players, these bonuses are multiplicative with each other.","","","","","","","","","","","","","","","","Buckler","","Shield","Minions",""
"1788937663-57","https://poe2db.tw/us/Keywords","Player Heavy Stun","","Deflect","Evade","Players and their Minions usually cannot be Heavily Stunned, but players can receive Heavy Stun buildup where specifically mentioned while taking specific actions (such as raising their Shield, Parrying with a Buckler, or riding a mount). A player's stun bar only empties when they are not taking these actions or Heavily Stunned. While Heavily Stunned players cannot Block, Deflect or Evade.","","","","","","","","","","","","","","","","Buckler","","Shield","Minions",""
"1788937663-58","https://poe2db.tw/us/Keywords","Electrocution","","","","Electrocution is an Ailment that interrupts the target's actions and prevents them performing any action, and lasts 5 seconds by default.



Only Lightning damage from Hits with specific skills or effects Contributes to Electrocution Buildup on enemies until they become Electrocuted. Other sources of Lightning damage will not build up towards Electrocution.","","","","","","","","","","","","","","","","","","","",""
"1788937663-59","https://poe2db.tw/us/Keywords","Pinned","","","Evading","Certain skills and effects allow damage to build up Pinned. Once this build up passes the enemy's Pinned Threshold, they are Pinned, preventing them moving, being moved or Evading for 3 seconds. They are also Light Stunned when they become Pinned.



Pinned targets count as Immobilised.","","","","","","","","","","","","","","","","","","","",""
"1788937663-60","https://poe2db.tw/us/Keywords","Overwhelm","","","","Overwhelm negates a certain amount of the target's Physical damage reduction, but never more than the total Physical damage reduction the target has.","","","","","","","","","","","","","","","","","","","",""
"1788937663-61","https://poe2db.tw/us/Keywords","Melee","","","","Melee Attacks are those that directly hit with a melee Strike or a Slam, dealing Melee damage. Melee attacks usually scale from Weapon or Unarmed damage. 



Any Projectiles these attacks create do not count as Melee damage.","","","","","","","","","","","","","","","","","Projectiles","","",""
"1788937663-62","https://poe2db.tw/us/Keywords","Slams","","","","Slams are Melee Attacks that cause damaging areas of effect, rather than Striking enemies with your weapon directly. Damage from Slams is still Melee damage.","","","","","","","","","","","","","","","","","","","",""
"1788937663-63","https://poe2db.tw/us/Keywords","Chain","","","","Effects that Chain are redirected to another target after colliding with an enemy.

Projectiles Splitting, Piercing or Forking take priority over Chaining.

Projectiles have a base chaining distance of 6 metres whereas other effects have a chaining distance of 4 metres. Enemies cannot be targeted more than once in the same Chain.","","","","","","","","","","","","","","","","","Projectiles","","",""
"1788937663-64","https://poe2db.tw/us/Keywords","Pierce","","","","Projectiles that Pierce can pass through a target while still damaging them.","","","","","","","","","","","","","","","","","Projectiles","","",""
"1788937663-65","https://poe2db.tw/us/Keywords","Fork","","","","Projectiles that Fork split into two the first time they collide with an enemy and do not Split from it or Pierce it.","","","","","","","","","","","","","","","","","Projectiles","","",""
"1788937663-66","https://poe2db.tw/us/Keywords","Split","","","","The first time a Projectile or beam that can Split collides with a target, it splits into a multiple which will all aim at different targets within 6 metres if able. If there aren't enough targets, the rest will be aimed in random directions.","","","","","","","","","","","","","","","","","Projectile","","",""
"1788937663-67","https://poe2db.tw/us/Keywords","Deflect","","","","Deflection Rating provides a chance to Deflect damage from Hits, preventing 40% of the damage from those Hits. Exact chance to Deflect also depends on the attacker's Accuracy.","","","","","","","","","","","","","","Accuracy","","","","","",""
"1788937663-68","https://poe2db.tw/us/Keywords","Suppress","","","","50% of damage from Suppressed Hits and Ailments they inflict is prevented.","","","","","","","","","","","","","","","","","","","",""
"1788937663-69","https://poe2db.tw/us/Keywords","Block","","","","Blocking completely prevents the damage of an incoming Hit.



You will still take any Stun from the Blocked hit. You can't Block while Stunned or Frozen. 



Some Skills used by Bosses cannot be blocked. These are indicated by a red glow and audio cue during the windup of the Skill.","","","","","","","","","","","","","","","","","","","",""
"1788937663-70","https://poe2db.tw/us/Keywords","Chance to Block","","","","Chance to Block only includes modifiers that are explicitly chance-based. Guaranteed Block (such as raising your Shield) does not affect your Chance to Block.","","","","","","","","","","","","","","","","","","Shield","",""
"1788937663-71","https://poe2db.tw/us/Keywords","Overcapped Block Chance","","","","Overcapped Block Chance is the amount by which your Chance to Block would exceed your maximum Chance to Block if it were uncapped.","","","","","","","","","","","","","","","","","","","",""
"1788937663-72","https://poe2db.tw/us/Keywords","Strike","","","","A Strike is a Melee attack that directly hits with weapons or body parts. Slam attacks do not count as Strikes.","","","","","","","","","","","","","","","","","","","",""
"1788937663-73","https://poe2db.tw/us/Keywords","Projectile","","","","A Projectile is a moving Attack or Spell that usually impacts with targets when it hits them.



When a group of multiple Projectiles is fired from the same source at the same time, only one Projectile in the group can hit each target unless otherwise specified.","","","","","","","","","","","","","","","Spell","","","","",""
"1788937663-74","https://poe2db.tw/us/Keywords","Resistances","","","","Resistances reduce damage taken of the corresponding damage type — Fire, Cold, Lightning or Chaos — up to a Maximum. Fire, Cold and Lightning Resistances are Elemental Resistances. Resistances can be improved with Equipment, Passives & Quest items.



Your Elemental Resistances are lowered as you progress through the game. Elemental Resistances are a vital defensive tool, and should be one of the first things to check if you're having difficulty surviving.","","","","","","","","","","","","","","","","","","","",""
"1788937663-75","https://poe2db.tw/us/Keywords","Critical Hits","","","","Critical Hits deal +100% extra damage (i.e. twice as much damage) by default. Critical Damage Bonuses can further modify this value.



Attacks usually use your weapon's base Critical Hit Chance, while Spells and some other skills have their base Critical Hit Chance listed on the skill. 



Most modifiers to Critical Hit Chance are percentage based. For example, gaining 100% increased Critical Hit Chance on a base Critical Hit Chance of 7% would result in a final Critical Hit Chance of 14%.","","","","","","","","","","","","","","","Spells","","","","",""
"1788937663-76","https://poe2db.tw/us/Keywords","Critical Damage Bonus","","","","Multiplies the damage dealt by Critical Hits. Default value is +100% (i.e. twice as much damage).","","","","","","","","","","","","","","","","","","","",""
"1788937663-77","https://poe2db.tw/us/Keywords","Jagged Ground","","","","Jagged Ground Slows the movement speed of enemies in its area by 20%.","","","","","","","","","","","Slows","","","","","","","","",""
"1788937663-78","https://poe2db.tw/us/Keywords","Totems","","","","Totems are allied constructs which use skills for you. Totems are not Minions and their skills benefit from your stats, though they have their own defensive stats and can be damaged or killed.



Totem Limit is shared between different types of Totem by default.","","","","","","","","","","","","","","","","","","","Minions",""
"1788937663-79","https://poe2db.tw/us/Keywords","Taunt","","","","Enemies you Taunt can only target you, and deal 10% less damage with hits to anyone else. If not otherwise specified, Taunt lasts for 3 seconds.","","","","","","","","","","","","","","","","","","","",""
"1788937663-80","https://poe2db.tw/us/Keywords","Empowered Skills","","","","Empowered Skills do not have any inherent bonuses, but a number of stats and modifiers specifically apply to Empowered Skills.","","","","","","","","","","","","","","","","","","","",""
"1788937663-81","https://poe2db.tw/us/Keywords","Monster Power","","","","Monster Power is a number that approximately reflects how strong and dangerous a monster is. An average monster has a Power of 1, strong monsters can have Power of 2 to 3, and weak monsters might have as little as 0.5, or very occasionally less. This value is then multiplied according to the monster's Rarity:



Normal: 1

Magic: 2

Rare: 5



Unique monsters always have 20 Power.","","","","","","","","","","","","","","","","","","","",""
"1788937663-82","https://poe2db.tw/us/Keywords","Armour","","","","Armour reduces Damage taken from Hits. By default, Armour only applies to Physical Damage.



Damage reduction from Armour is proportional to the amount of Damage, and is more effective at reducing smaller hits.","","","","","","","","","","","","","","","","","","","",""
"1788937663-83","https://poe2db.tw/us/Keywords","Burning","","","","Enemies taking Fire damage over time are Burning. Usually this occurs because the enemy is Ignited.","","","","","","","","","","","","","","","","","","","",""
"1788937663-84","https://poe2db.tw/us/Keywords","Frozen","","","","A Frozen target cannot move or act. Targets become Frozen when they reach 100% Freeze buildup.","","","","","","","","","","","","","","","","","","","",""
"1788937663-85","https://poe2db.tw/us/Keywords","Evasion","","","","Evasion Rating grants a chance to Evade enemy Hits, preventing them from Hitting you at all. Exact chance to Evade also depends on the attacker's Accuracy.","","","","","","","","","","","","","","Accuracy","","","","","",""
"1788937663-86","https://poe2db.tw/us/Keywords","Accuracy","","","Evasion","Accuracy is used to hit a target with an Attack, and is checked against the targets Evasion to determine that chance. 



Player Attacks incur an Accuracy penalty based on distance from the origin of the damage to the target, with no penalty for targets within 2 metres and up to 90% less Accuracy for targets further than 9 metres away.","","","","","","","","","","","","","","","","","","","",""
"1788937663-87","https://poe2db.tw/us/Keywords","Energy Shield","","","","Energy Shield protects your Life by taking damage instead. Rapidly Recharges if you don't lose Energy Shield for a short time.

Chaos damage removes twice as much Energy Shield.

Damage from Bleeding and Poison bypasses Energy Shield to remove Life directly.","","","","","","Bleeding","","","","","","Poison","","","","","","","","Recharges"
"1788937663-88","https://poe2db.tw/us/Keywords","Primed for Electrocution","","","","Normal enemies are Primed for Electrocution when they have at least 40% Electrocution buildup. Magic enemies are instead Primed at 50% buildup, Rare at 60%, and Unique at 70%.","","","","","","","","","","","","","","","","","","","",""
"1788937663-89","https://poe2db.tw/us/Keywords","Primed for Stun","","","","Normal enemies are Primed for Stun when they have at least 40% Heavy Stun buildup. Magic enemies are instead Primed at 50% buildup, Rare at 60%, and Unique at 70%.","","","","","","","","","","","","","","","","","","","",""
"1788937663-90","https://poe2db.tw/us/Keywords","Primed for Freeze","","","","Normal enemies are Primed for Freeze when they have at least 40% Freeze buildup. Magic enemies are instead Primed at 50% buildup, Rare at 60%, and Unique at 70%.","","","","","","","","","","","","","","","","","","","",""
"1788937663-91","https://poe2db.tw/us/Keywords","Iron Reflexes","","","Evasion Rating","Converts all Evasion Rating to Armour.","","","","","","","","Armour","","","","","","","","","","","",""
"1788937663-92","https://poe2db.tw/us/Keywords","Slow","","","","Slows are modifiers from Debuffs that cause actions to take longer. Slows can apply to a specific stat (such as attack speed or movement speed) — if a specific type of slow is not specified, it applies to everything the affected entity does. Slows are always multiplicative with each other.



Higher Rarity enemies are less affected by Slows:



15% less Slow effect on Magic monsters

30% less Slow effect on Rare monsters

50% less Slow effect on Unique monsters



Additionally, Slows have 10% less effect on all monsters for each player in the area beyond the first and monsters cannot be slowed below 25% of their base speed.","","","","","","","","","Debuffs","","","","","","","","","","",""
