web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,image,image2
"1788937524-11","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Jade Heritage","Ascendancy: Warbringer","Encase in Jade","","","","","Grants Skill: Encase in Jade","","Gain a stack of Jade every second","additional physical damage reduction % per jade [1]","additional physical damage reduction % per jade [1]","","","Warbringer","Warrior","","","","","","Character: Warrior","","","","","","","","","","","","","","","","","","","","","max jade stacks [10]","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/Warbringer/WarbringerEncasedInJade.webp","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/BruteWarbringerEncasedJade.webp"
"1788937524-12","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Warcaller's Bellow","Ascendancy: Warbringer","","","","","25","Warcries Explode Corpses dealing 25% of their Life as Physical Damage","","Ignore Warcry Cooldowns","","","","","Warbringer","Warrior","","","","","","Character: Warrior","","","","Physical","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/Warbringer/WarbringerWarcryExplodesCorpses.webp",""
"1788937524-13","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Answered Call","Ascendancy: Warbringer","Ancestral Spirits","","","","","Grants Skill: Ancestral Spirits","+1","+1 to maximum number of Summoned Totems","","Trigger Ancestral Spirits when you Summon a Totem","","","Warbringer","Warrior","","","","","","Character: Warrior","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/Warbringer/WarbringerTotemsDefendedByAncestors.webp","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/BruteWarbringerDefenders.webp"
"1788937524-14","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Wooden Wall","Ascendancy: Warbringer","","","","","20","20% of Damage from Hits is taken from your nearest Totem's Life before you","","","","","","","Warbringer","Warrior","","","","","","Character: Warrior","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/Warbringer/WarbringerDamageTakenByTotems.webp",""
"1788937524-15","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Renly's Training","Ascendancy: Warbringer","","","","","35","Gain 35% Base Chance to Block from Equipped Shield instead of the Shield's value","","","","","","","Warbringer","Warrior","","","","","","Character: Warrior","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/Warbringer/WarbringerBlockChance.webp",""
"1788937524-16","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Turtle Charm","Ascendancy: Warbringer","","","","","20","You take 20% of damage from Blocked Hits","75","Maximum Block chance is 75%","","","","","Warbringer","Warrior","","","","","","Character: Warrior","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/Warbringer/WarbringerCanBlockAllDamageShieldNotRaised.webp",""
"1788937524-17","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Heat of the Forge","Ascendancy: Smith of Kitava","Fire Spell on Hit","","","","","Grants Skill: Fire Spell on Hit","","","","","","","","Warrior","Smith of Kitava","","","","","Character: Warrior","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/SmithofKitava/SmithofKitavaTriggerFireSpellsMeleeWeapon.webp","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/SmithOfKitavaTriggerFireballsSkillIcon.webp"
"1788937524-18","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Living Weapon","Ascendancy: Smith of Kitava","Manifest Weapon","","","","","Grants Skill: Manifest Weapon","","","","","","","","Warrior","Smith of Kitava","","","","","Character: Warrior","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/SmithofKitava/SmithOfKitavaCreateMinionMeleeWeapon.webp","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/SmithOfKitavaCreateWeaponSkillIcon.webp"
"1788937524-19","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Against the Anvil","Ascendancy: Smith of Kitava","Temper Weapon","","","","","Grants Skill: Temper Weapon","","","","","","","","Warrior","Smith of Kitava","","","","","Character: Warrior","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/SmithofKitava/SmithOfKitavaImbueMainHandWeapon.webp","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/SmithOfKitavaImbueWeaponSkillIcon.webp"
"1788937524-20","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Coal Stoker","Ascendancy: Smith of Kitava","","","","","50","Modifiers to Fire Resistance also grant Cold and Lightning Resistance at 50% of their value","","","","","","","","Warrior","Smith of Kitava","","","","","Character: Warrior","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/SmithofKitava/SmithOfKitavaFireResistAppliesToColdLightning.webp",""
"1788937524-21","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Forged in Flame","Ascendancy: Smith of Kitava","","","","","","Modifiers to Maximum Fire Resistance also grant Maximum Cold and Lightning Resistance","","","","","","","","Warrior","Smith of Kitava","","","","","Character: Warrior","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/SmithofKitava/SmithOfKitavaImprovedFireResistAppliesToColdLightning.webp",""
"1788937524-22","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Smith's Masterwork","Ascendancy: Smith of Kitava","","","","","","Can only use a Normal Body Armour","200","+200 to Armour for each Connected Notable Passive Skill Allocated","","","","","","Warrior","Smith of Kitava","Armour","","","","Character: Warrior","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/SmithofKitava/SmithOfKitavaCanOnlyWearNormalRarityBodyArmour.webp",""
"1788937524-23","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Tantalum Alloy","Ascendancy: Smith of Kitava","","","","","+75","Body Armour grants +75% to Fire Resistance","base physical damage reduction rating no display [200]","base physical damage reduction rating no display [200]","","","","","","Warrior","Smith of Kitava","","","","","Character: Warrior","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/SmithofKitava/SmithOfKitavaNormalArmourBonus1.webp",""
"1788937524-24","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Kitavan Imprint","Ascendancy: Smith of Kitava","","","","","60","Body Armour grants 60% increased Glory generation","base physical damage reduction rating no display [200]","base physical damage reduction rating no display [200]","","","","","","Warrior","Smith of Kitava","","","","","Character: Warrior","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/SmithofKitava/SmithOfKitavaNormalArmourBonus2.webp",""
"1788937524-25","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Spiked Plates","Ascendancy: Smith of Kitava","","","","","100","Body Armour grants 100% increased Thorns damage","base physical damage reduction rating no display [200]","base physical damage reduction rating no display [200]","","","","","","Warrior","Smith of Kitava","","","","","Character: Warrior","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/SmithofKitava/SmithOfKitavaNormalArmourBonus3.webp",""
"1788937524-26","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Support Straps","Ascendancy: Smith of Kitava","","","","","20","Body Armour grants 20% increased Strength","base physical damage reduction rating no display [200]","base physical damage reduction rating no display [200]","","","","","","Warrior","Smith of Kitava","","","","","Character: Warrior","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/SmithofKitava/SmithOfKitavaNormalArmourBonus4.webp",""
"1788937524-27","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Kitavan Engraving","Ascendancy: Smith of Kitava","","","","","15","Body Armour grants 15% increased maximum Life","base physical damage reduction rating no display [200]","base physical damage reduction rating no display [200]","","","","","","Warrior","Smith of Kitava","","","","","Character: Warrior","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/SmithofKitava/SmithOfKitavaNormalArmourBonus5.webp",""
"1788937524-28","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Tribute to Utula","Ascendancy: Smith of Kitava","","","","","30","Body Armour grants 30% increased Spirit","base physical damage reduction rating no display [200]","base physical damage reduction rating no display [200]","","","","","","Warrior","Smith of Kitava","","","","","Character: Warrior","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/SmithofKitava/SmithOfKitavaNormalArmourBonus6.webp",""
"1788937524-29","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Leather Bindings","Ascendancy: Smith of Kitava","","","","","3","Body Armour grants regenerate 3% of maximum Life per second","base physical damage reduction rating no display [200]","base physical damage reduction rating no display [200]","","","","","","Warrior","Smith of Kitava","","","","","Character: Warrior","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/SmithofKitava/SmithOfKitavaNormalArmourBonus7.webp",""
"1788937524-30","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Flowing Metal","Ascendancy: Smith of Kitava","","","","","+50","Body Armour grants +50% of Armour also applies to Elemental Damage","base physical damage reduction rating no display [200]","base physical damage reduction rating no display [200]","","","","","","Warrior","Smith of Kitava","Armour","","","","Character: Warrior","","","Elemental Damage","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/SmithofKitava/SmithOfKitavaNormalArmourBonus8.webp",""
"1788937524-31","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Molten Symbol","Ascendancy: Smith of Kitava","","","","","25","Body Armour grants 25% of Physical Damage from Hits taken as Fire Damage","base physical damage reduction rating no display [200]","base physical damage reduction rating no display [200]","","","","","","Warrior","Smith of Kitava","","","","","Character: Warrior","","","","Physical","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/SmithofKitava/SmithOfKitavaNormalArmourBonus9.webp",""
"1788937524-32","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Internal Layer","Ascendancy: Smith of Kitava","","","","","100","Body Armour grants Hits against you have 100% reduced Critical Damage Bonus","base physical damage reduction rating no display [200]","base physical damage reduction rating no display [200]","","","","","","Warrior","Smith of Kitava","","","","","Character: Warrior","","","","","","","","Critical Damage Bonus","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/SmithofKitava/SmithOfKitavaNormalArmourBonus10.webp",""
"1788937524-33","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Dedication to Kitava","Ascendancy: Smith of Kitava","","","","","","Body Armour grants +100% of Armour also applies to Chaos Damage","base physical damage reduction rating no display [200]","base physical damage reduction rating no display [200]","","","","","","Warrior","Smith of Kitava","Armour","","","","Character: Warrior","","","","","","","","","","","Chaos Damage","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/SmithofKitava/SmithOfKitavaNormalArmourBonus11.webp",""
"1788937524-34","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Heatproofing","Ascendancy: Smith of Kitava","","","","","","Body Armour grants Unaffected by Damaging Ailments","base physical damage reduction rating no display [200]","base physical damage reduction rating no display [200]","","","","","","Warrior","Smith of Kitava","","","","","Character: Warrior","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/SmithofKitava/SmithOfKitavaNormalArmourBonus12.webp",""
"1788937524-35","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Endless Munitions","Ascendancy: Deadeye","","","","","","Skills fire an additional Projectile","","","","","","","","","","","Deadeye","Ranger","","Character: Ranger","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/DeadEye/DeadeyeGrantsTwoAdditionalProjectiles.webp",""
"1788937524-36","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Projectile Proximity Specialisation","Ascendancy: Deadeye","","","","","","","","","","","","","","","","","Deadeye","Ranger","","Character: Ranger","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/DeadEye/DeadeyeProjectileDamageChoose.webp",""
"1788937524-37","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Gathering Winds","Ascendancy: Deadeye","","","","","","Gain Tailwind on Skill use","","Lose all Tailwind when Hit","","","","","","","","","Deadeye","Ranger","","Character: Ranger","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/DeadEye/DeadeyeTailwind.webp",""
"1788937524-38","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Mirage Deadeye","Ascendancy: Deadeye","Mirage Deadeye","","","","","Grants Skill: Mirage Deadeye","","","","","","","","","","","Deadeye","Ranger","","Character: Ranger","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/DeadEye/DeadeyeLingeringMirage.webp","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/RangerDeadeyeMirageSkill.webp"
"1788937524-39","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Avidity","Ascendancy: Deadeye","","","","","50","50% chance when you gain a Frenzy Charge to gain an additional Frenzy Charge","","","","","","","","","","","Deadeye","Ranger","","Character: Ranger","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/DeadEye/DeadeyeFrenzyChargesGeneration.webp",""
"1788937524-40","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Thrilling Chase","Ascendancy: Deadeye","","","","","50","Benefits from consuming Frenzy Charges for your Skills have 50% chance to be doubled","","","","","","","","","","","Deadeye","Ranger","","Character: Ranger","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/DeadEye/DeadeyeFrenzyChargesHaveMoreEffect.webp",""
"1788937524-41","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Called Shots","Ascendancy: Deadeye","Called Shots","","","","","Grants Skill: Called Shots","","","","","","","","","","","Deadeye","Ranger","","Character: Ranger","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/DeadEye/DeadeyeMarkEnemiesSpread.webp","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/DeadeyeMarkMetagemSkill.webp"
"1788937524-42","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Bullseye","Ascendancy: Deadeye","","","","","10","Apply 10 Critical Weakness to Enemies when Consuming a Mark on them","","","","","","","","","","","Deadeye","Ranger","","Character: Ranger","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/DeadEye/DeadeyeMoreAccuracy.webp",""
"1788937524-43","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Running Assault","Ascendancy: Pathfinder","","","","","","Cannot be Heavy Stunned while Sprinting","30","30% less Movement Speed Penalty from using Skills while moving","","","","","","","","","","Ranger","Pathfinder","Character: Ranger","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/PathFinder/PathfinderMoreMovemenSpeedUsingSkills.webp",""
"1788937524-44","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Relentless Pursuit","Ascendancy: Pathfinder","","","","","","Your speed is unaffected by Slows","","","","","","","","","","","","Ranger","Pathfinder","Character: Ranger","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/PathFinder/PathfinderCannotBeSlowed.webp",""
"1788937524-45","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Overwhelming Toxicity","Ascendancy: Pathfinder","","","","","","Double the number of your Poisons that targets can be affected by at the same time","50","50% less Poison Duration","","","","","","","","","","Ranger","Pathfinder","Character: Ranger","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/PathFinder/PathfinderEnemiesMultiplePoisons.webp",""
"1788937524-46","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Sustainable Practices","Ascendancy: Pathfinder","","","","","50","50% of Evasion Rating also grants Elemental Damage reduction","","","","","","","","","","","","Ranger","Pathfinder","Character: Ranger","","Evasion Rating","Elemental Damage","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/PathFinder/PathfinderEvasionDmgReducVsElementalDmg.webp",""
"1788937524-47","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Enduring Elixirs","Ascendancy: Pathfinder","","","","Unreserved","","Life Flask Effects are not removed when Unreserved Life is Filled
Life Flask Effects do not Queue","","","","","","","","","","","","Ranger","Pathfinder","Character: Ranger","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/PathFinder/PathfinderLifeFlasks.webp",""
"1788937524-48","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Brew Concoction","Ascendancy: Pathfinder","","","","","","","","","","","","","","","","","","Ranger","Pathfinder","Character: Ranger","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/PathFinder/PathfinderBrewConcoction.webp",""
"1788937524-49","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Path Seeker","Ascendancy: Pathfinder","","","","","","","","","","","","","","","","","","Ranger","Pathfinder","Character: Ranger","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/PathFinder/PathfinderMultichoicePath.webp",""
"1788937524-50","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Traveller's Wisdom","Ascendancy: Pathfinder","","","","","","Attribute Passive Skills can instead grant 5% increased Damage
Attribute Passive Skills can instead grant 5% increased Armour, Evasion and Energy Shield
Attribute Passive Skills can instead grant 5% increased Cost Efficiency","","","","","","","","","","Armour","","Ranger","Pathfinder","Character: Ranger","","Evasion","","","","","","","","","","Energy Shield","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/PathFinder/PathfinderAdditionalPoints.webp",""
"1788937524-51","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Critical Strike","Ascendancy: Amazon","","","","","25","Chance to Hit with Attacks can exceed 100%
Gain additional Critical Hit Chance equal to 25% of excess chance to Hit with Attacks","","","","","","","","","","","","","","Character: Huntress","Amazon","","","","Huntress","","","","Critical Hit","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/Amazon/AmazonExcessChancetoHitConvertedtoCritHitChance.webp",""
"1788937524-52","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Penetrate","Ascendancy: Amazon","","","","","25","Attacks using your Weapons have Added Physical Damage equal
to 25% of the Accuracy Rating on the Weapon","","","","","","","","","","","","","","Character: Huntress","Amazon","","","Physical","Huntress","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/Amazon/AmazonGainPhysicalDamageWeaponsAccuracy.webp",""
"1788937524-53","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Predatory Instinct","Ascendancy: Amazon","","","","","","Reveal Weaknesses against Rare and Unique enemies","50","50% more damage against enemies with an Open Weakness","","","","","","","","","","","","Character: Huntress","Amazon","","","","Huntress","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/Amazon/AmazonRareUniqueBloodlusted.webp",""
"1788937524-54","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","In for the Kill","Ascendancy: Amazon","","Presence","","","20","20% increased Movement Speed while an enemy with an Open Weakness is in your Presence","40","40% increased Skill Speed while an enemy with an Open Weakness is in your Presence","","","","","","","","","","","","Character: Huntress","Amazon","","","","Huntress","","","","","","","","","","","","Presence","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/Amazon/AmazonSpeedBloodlustedEnemy.webp",""
"1788937524-55","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Surging Avatar","Ascendancy: Amazon","","Fire Surges","Cold Surges","","1","Gain 1 fewer Lightning Surge from Triggering Elemental Surge","2","When you Consume a Charge, Trigger Elemental Surge to gain 2 Fire Surges","2","When you Consume a Charge, Trigger Elemental Surge to gain 2 Cold Surges","","","","","","","","","","Character: Huntress","Amazon","","","","Huntress","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/Amazon/AmazonElementalDamageReductionperElementalInstillation.webp",""
"1788937524-56","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Elemental Surge","Ascendancy: Amazon","Elemental Surge","Lightning Surges","","","","Grants Skill: Elemental Surge","3","When you Consume a Charge, Trigger Elemental Surge to gain 3 Lightning Surges","","","","","","","","","","","","Character: Huntress","Amazon","","","","Huntress","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/Amazon/AmazonConsumeFrenzyChargeGainElementalInstillation.webp","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/AmazonElementalInfusionSkillIcon.webp"
"1788937524-57","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Azmeri Brew","Ascendancy: Amazon","","","","","","Life Flasks also recover Mana
Mana Flasks also recover Life","","","","","","","","","","","","","","Character: Huntress","Amazon","","","","Huntress","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/Amazon/AmazonLifeFlasksRecoverManaViceVersa.webp",""
"1788937524-58","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Stalking Panther","Ascendancy: Amazon","","","","","","Evasion Rating from Equipped Helmet, Gloves and Boots is doubled","","Evasion Rating from Equipped Body Armour is halved","","","","","","","","","","","","Character: Huntress","Amazon","Evasion","","","Huntress","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/Amazon/AmazonDoubleEvasionfromGlovesBootsHelmsHalvedBodyArmour.webp",""
"1788937524-59","https://poe2db.tw/us/Ascendancy_class#Ascendancypassives","Mystic Harvest","Ascendancy: Amazon","","","","","","Life Leech recovers based on your Elemental damage as well as Physical damage","","","","","","","","","","","","","","Character: Huntress","Amazon","","Elemental","Physical","Huntress","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/passives/Amazon/AmazonIncreasedLifeRecoveryRatePerMissingLife.webp",""
