web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,image
"1788936811-40","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Buff","","Cast on Critical","","Cast on CriticalBuff, Persistent, Trigger, MetaWhile active, gains Energy when you Critically Hit enemies and triggers socketed Spells on reaching maximum Energy.","","","Buff, Persistent, Trigger, Meta","","","","","","","","","","","","","","","","","","","","","Persistent","","","Meta","","","","","","","","","Trigger","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/CastOnCritSkill.webp"
"1788936811-41","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Buff","","","","Barrier InvocationBuff, Persistent, Trigger, Invocation, MetaWhile active, gains Energy when your Energy Shield is damaged by Enemy Hits. Using the Invocation once sufficient Energy is gathered will consume the Energy to trigger socketed Spells, and can trigger them multiple times if it has enough Energy.","Barrier Invocation","","Buff, Persistent, Trigger, Invocation, Meta","","","","","","","","","","","","","","","","","","","","","Persistent","","","Meta","","","","Energy Shield","","","","","Trigger","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/SorceressBarrierInvocation.webp"
"1788936811-42","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Buff","","","","Cast on DodgeBuff, Persistent, Trigger, MetaWhile active, gains Energy when you dodge roll and triggers socketed spells on reaching maximum Energy.","Cast on Dodge","","Buff, Persistent, Trigger, Meta","","","","","","","","","","","","","","","","","","","","","Persistent","","","Meta","","","","","","","","","Trigger","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/CastOnDodgeRollSkill.webp"
"1788936811-43","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Buff","","","","Lingering IllusionBuff, Persistent, Duration, RemnantWhile active, creates a short-lived illusory copy of yourself whenever you dodge roll. The copy can be damaged by enemies, and copies that are destroyed by an enemy will drop a Remnant that grants you a Power Charge on pickup.","Lingering Illusion","","Buff, Persistent, Duration, Remnant","","","","","","","","","","","","","","","","","","","","Power Charge","Persistent","","","","","Duration","","","","","","","","","","","Remnant","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/MonkLingeringIllusion.webp"
"1788936811-44","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Buff","","","","Ghost DanceBuff, PersistentWhile active, causes you to periodically gain Ghost Shrouds. If you are Hit while you have a Ghost Shroud, it is immediately consumed to recover Energy Shield based on your Evasion.","Ghost Dance","","Buff, Persistent","","","","","","","","","","","","","","","","","","","","","Persistent","","","","","","","Energy Shield","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/MonkGhostDance.webp"
"1788936811-45","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Spell","","Chaos Bolt","","Chaos BoltSpell, Projectile, Chaos, RepeatableFire a burst of Chaos energy at the target.","","","Spell, Projectile, Chaos, Repeatable","","","","","","","","","Chaos","","","Repeatable","Chaos","","","","","","","","","","","","","","","","","","","","","","","","","Projectile","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/ChaosBoltWeaponSkill.webp"
"1788936811-46","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Spell","","Coiling Bolts","","Coiling BoltsSpell, Projectile, Chaos, RepeatableSimultaneously fires a Physical Projectile and a Chaos Projectile at the target. These projectiles Chain through any number of Cursed targets.","","","Spell, Projectile, Chaos, Repeatable","","","","","","","","","Chaos","","","Repeatable","Chaos","","","","Chain","","","","","","","","","","","","","","","","","","","Physical","","Projectile","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/CoilOfUndoingSkill.webp"
"1788936811-47","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Attack","","","","Phantasmal ArrowAttack, AoE, Projectile, Fire, Duration, RepeatableFires an arrow that embeds where it lands for a short duration. At the end of the duration, the arrow explodes in spectral flame, turning it to ashes and damaging enemies, with a high chance to Ignite. Igniting any enemy with the Explosion also applies Ignite to enemies within range.","Phantasmal Arrow","","Attack, AoE, Projectile, Fire, Duration, Repeatable","","","","","","","","","","","","Repeatable","","","","","","","","","","","","","","Duration","","","","","","Fire","","","AoE","","","Projectile","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/GhostfuseArrow.webp"
"1788936811-48","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Spell","","Solar Orb","","Solar OrbSpell, AoE, Sustained, Fire, Duration, Orb, RepeatableCreate a fiery Orb that periodically releases fiery pulses. Enemies that are very close to the Orb are Ignited. Flameblast can target a Solar Orb to be centred on the Orb instead of your location.","","","Spell, AoE, Sustained, Fire, Duration, Orb, Repeatable","","","","","","Sustained","","","","","","Repeatable","","","","","","","","","","","","","","Duration","","","","","","Fire","","","AoE","","","","Orb","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/SorceressSolarOrb.webp"
"1788936811-49","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Attack","","","","Raise ShieldAttack, AoE, Melee, Physical, ChannellingRaise your Shield to Block all incoming Blockable hits. Release immediately after Blocking when an enemy is close to perform a Shield Bash, damaging and Stunning enemies. While your Shield is raised you cannot be Light Stunned by hits you Block, but Blocking too much damage may Heavy Stun you. You cannot Evade while your Shield is raised, but Evasion instead grants an equal chance to avoid this Heavy Stun buildup.","Raise Shield","Block","Attack, AoE, Melee, Physical, Channelling","","","","","","","","","","","","","","","","","","Physical","","","","","","","","","","","","","","","","Channelling","AoE","","","","","Melee","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/BruteShieldBlock.webp"
"1788936811-50","https://poe2db.tw/us/Gem#ItemSkillGemsSummary","Buff","","Mana Remnants","","Mana RemnantsBuff, Persistent, RemnantConjure surging arcane energy to restore your Mana. While active, enemies you kill affected by Elemental Ailments have a chance to spawn a Mana Remnant, and Critically Hitting a target with Elemental Ailments spawns a Mana Remnant every few seconds. Picking up a Mana Remnant grants you Mana which can Overflow maximum Mana.","","","Buff, Persistent, Remnant","","","","","","","","","","","","","","","","","","","","","Persistent","","","","","","","","","","","","","","","","Remnant","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/SorceressEnergyRemnants.webp"
