web_scraper_order,web_scraper_start_url,weapon,gems,gems2,gems3,gems4,tier,gems5,gems6,gems7,gems8,weapon2
"1788937210-23","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Elemental","Frost Darts","Living Bomb","Fireball","Orb of Storms","3","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/frostdartsskillicon.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/sorceressgreaterfireball.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/sorceressorbofstorms.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/livingbombweaponskill.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconElemental.webp"
"1788937210-24","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Elemental","Arc","Frostbolt","Snap","Ember Fusillade","5","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/sorceressarc.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/sorceresscoldsnap.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/sorceressblazingcluster.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/sorceressfrostbolt.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconElemental.webp"
"1788937210-25","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Elemental","Elemental Weakness","Mana Tempest","Temporal Chains","","7","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/4K/elementalweakness.webp","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/4K/temporalchains.webp","","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/sorceressmanatempest.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconElemental.webp"
"1788937210-26","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Elemental","Incinerate","Lightning Warp","Frost Wall","","9","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/sorceressincinerate.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/sorceressfrostwall.webp","","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/sorceresslightningwarp.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconElemental.webp"
"1788937210-27","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Elemental","Ball Lightning","Firestorm","Comet","","11","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/sorceressballlightning.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/sorceresscomet.webp","","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/witchfirestorm.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconElemental.webp"
"1788937210-28","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Elemental","Flameblast","Eye of Winter","Lightning Conduit","","13","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/sorceressflameblast.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/sorceresslightningconduit.webp","","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/sorceresseyeofwinter.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconElemental.webp"
"1788937210-29","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Spear","Disengage","Whirling Slash","Twister","Explosive Spear","1","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/impaleskillicon.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/twisterskillicon.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/huntressremoteminespear.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/huntresswhirlingslash.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconSpear.webp"
"1788937210-30","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Spear","Rake","Fangs of Frost","Lightning Spear","Cull The Weak","3","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/huntressbloodhunt.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/huntressstormspear.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/frenziedlungeskillicon.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/fangsoffrostskillicon.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconSpear.webp"
"1788937210-31","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Spear","Rapid Assault","Storm Lance","Barrage","Spearfield","5","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/huntressrapidassault.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/rangerbarrageskill.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/huntressspearfield.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/huntressoverchargedspear.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconSpear.webp"
"1788937210-32","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Spear","Glacial Lance","Blood Hunt","Tame Beast","","7","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/huntressglaciallance.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/huntresstamebeast.webp","","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/huntressbloodhuntskillicon.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconSpear.webp"
"1788937210-33","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Spear","Thunderous Leap","Primal Strikes","Bloodhound's Mark","","9","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/thunderousleapskillicon.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/markofthebloodhoundskillicon.webp","","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/primalstrikesskillicon.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconSpear.webp"
"1788937210-34","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Spear","Elemental Sundering","Whirlwind Lance","","","11","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/huntressextraelements.webp","","","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/windstormlanceskillicon.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconSpear.webp"
"1788937210-35","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Spear","Spear of Solaris","Wind Serpent's Fury","","","13","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/solarisspearskillicon.webp","","","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/windserpentsfuryskillicon.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconSpear.webp"
"1788937210-36","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Crossbow","Explosive Grenade","Permafrost Bolts","Fragmentation Rounds","Armour Piercing Rounds","1","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/explosivegrenade.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/burstshotphysical.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/rapidshotphysical.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/burstshotpermafrost.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconCrossbow.webp"
"1788937210-37","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Crossbow","Flash Grenade","High Velocity Rounds","Incendiary Shot","","3","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/flashbanggrenade.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/burstshotincendiary.webp","","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/powershotphysical.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconCrossbow.webp"
"1788937210-38","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Crossbow","Galvanic Shards","Ice Shards","Gas Grenade","Rapid Shot","5","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/burstshotstormblast.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/toxicgrenade.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/rapidshotincendiary.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/rapidshotpermafrost.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconCrossbow.webp"
"1788937210-39","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Crossbow","Artillery Ballista","Glacial Bolt","Explosive Shot","Voltaic Grenade","7","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/mercripwireballista.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/powershotincendiary.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/shockgrenade.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/powershotpermafrost.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconCrossbow.webp"
"1788937210-40","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Crossbow","Oil Grenade","Siege Ballista","Stormblast Bolts","","9","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/oilgrenade.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/siegecascadestormblast.webp","","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/mercartilleryballista.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconCrossbow.webp"
"1788937210-41","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Crossbow","Hailstorm Rounds","Shockburst Rounds","Emergency Reload","Mortar Cannon","11","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/siegecascadepermafrost.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/mercemergencyreload.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/grenadeballistaskillicon.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/rapidshotstormblast.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconCrossbow.webp"
"1788937210-42","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Crossbow","Siege Cascade","Plasma Blast","Cluster Grenade","","13","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/siegecascadephysical.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/mercclustergrenade.webp","","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/powershotstormblast.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconCrossbow.webp"
"1788937210-43","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Quarterstaff","Falling Thunder","Frozen Locus","Killing Palm","Glacial Cascade","1","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/monklightningstrike.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/monkkillingpalm.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/monkglacialcascade.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/monkiceambush.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconQuarterstaff.webp"
"1788937210-44","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Quarterstaff","Staggering Palm","Tempest Bell","Wind Blast","","3","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/monkwindpalm.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/monkgalestrikeswing.webp","","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/monktempestbell.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconQuarterstaff.webp"
"1788937210-45","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Quarterstaff","Ice Strike","Tempest Flurry","Vaulting Impact","","5","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/monkcomboattack.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/monkvaultingimpact.webp","","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/monktempestflurry.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconQuarterstaff.webp"
"1788937210-46","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Quarterstaff","Wave of Frost","Siphoning Strike","Storm Wave","Freezing Mark","7","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/monkfreezingbackflip.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/monkstormwave.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/freezingmarkskill.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/monksiphoningstrike.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconQuarterstaff.webp"
"1788937210-47","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Quarterstaff","Charged Staff","Mantra of Destruction","Hand of Chayula","","9","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/monkchargedstaff.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/monkhandofchayula.webp","","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/monkmantraofdestruction.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconQuarterstaff.webp"
"1788937210-48","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Quarterstaff","Shattering Palm","Whirling Assault","","","11","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/monkshatteringpalm.webp","","","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/monkwhirlingassault.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconQuarterstaff.webp"
"1788937210-49","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Quarterstaff","Flicker Strike","Gathering Storm","","","13","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/monkflickerstriketeleport.webp","","","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/monkgatheringstorm.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconQuarterstaff.webp"
"1788937210-50","https://poe2db.tw/us/Skill_Gems#SkillGemsGemcutting","Primal","Lunar Assault","Entangle","Volcano","Furious Slam","1","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/druidlunarassault.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/druidvolcano.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/druidbearslam.webp","https://cdn.poe2db.tw/image/art/2dart/skillicons/4k/druidentangle.webp","https://cdn.poe2db.tw/image/Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconPrimal.webp"
