web_scraper_order,web_scraper_start_url,name,name2,name3,name4,name5,name6,name7,name8,name9,name10,name11,name12,name13,name14,name15,name16,name17,name18,name19,name20,name21,name22,name23,name24,image
"1788936761-11","https://poe2db.tw/us/Gem#SpiritGems","Wind Dancer","Wind Dancer (4)Buff, Attack, Persistent, AoE, Melee, Trigger, Staged","Buff, Attack, Persistent, AoE, Melee, Trigger, Staged","Persistent","Attack","","AoE","","","","Buff","","","","","Trigger","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/RangerWindDancerSkill.webp"
"1788936761-12","https://poe2db.tw/us/Gem#SpiritGems","Combat Frenzy","Combat Frenzy (8)Buff, Persistent","Buff, Persistent","Persistent","","","","","","","Buff","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/RangerCombatFrenzySkill.webp"
"1788936761-13","https://poe2db.tw/us/Gem#SpiritGems","Herald of Plague","Herald of Plague (8)Buff, Persistent, Chaos, Herald","Buff, Persistent, Chaos, Herald","Persistent","","Herald","","Chaos","","","Buff","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/HeraldOfAgonySkill.webp"
"1788936761-14","https://poe2db.tw/us/Gem#SpiritGems","Mirage Archer","Mirage Archer (8)Buff, Persistent, Trigger, Duration, Meta","Buff, Persistent, Trigger, Duration, Meta","Persistent","","","","","","","Buff","","","Duration","","Trigger","","","","","","Meta","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/LingeringMirageSkill.webp"
"1788936761-15","https://poe2db.tw/us/Gem#SpiritGems","Trail of Caltrops","Trail of Caltrops (8)Attack, Buff, Persistent, AoE, Projectile, Trigger, Physical, Duration, Hazard","Attack, Buff, Persistent, AoE, Projectile, Trigger, Physical, Duration, Hazard","Persistent","Attack","","AoE","","","Physical","Buff","","","Duration","","Trigger","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/CaltropsOnDodgeSkillIcon.webp"
"1788936761-16","https://poe2db.tw/us/Gem#SpiritGems","Alchemist's Boon","Alchemist's Boon (14)Buff, Persistent, Aura","Buff, Persistent, Aura","Persistent","","","","","","","Buff","","","","Aura","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/AlchemistsBoonSkill.webp"
"1788936761-17","https://poe2db.tw/us/Gem#SpiritGems","Rhoa Mount","Rhoa Mount (14)Minion, Buff, Companion, Persistent","Minion, Buff, Companion, Persistent","Persistent","","","","","","","Buff","","Minion","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/RhoaMountSkillIcon.webp"
"1788936761-18","https://poe2db.tw/us/Gem#SpiritGems","Arctic Armour","Arctic Armour (4)Buff, Spell, Persistent, Sustained, Cold, Staged","Buff, Spell, Persistent, Sustained, Cold, Staged","Persistent","","","","","Spell","","Buff","","","","","","","","","","Cold","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/SorceressArcticArmour.webp"
"1788936761-19","https://poe2db.tw/us/Gem#SpiritGems","Convalescence","Convalescence (4)Spell, Buff, Persistent, Duration","Spell, Buff, Persistent, Duration","Persistent","","","","","Spell","","Buff","","","Duration","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/ConvalescenceSkillIcon.webp"
"1788936761-20","https://poe2db.tw/us/Gem#SpiritGems","Grim Feast","Grim Feast (4)Buff, Spell, Minion, Persistent, Remnant","Buff, Spell, Minion, Persistent, Remnant","Persistent","","","","","Spell","","Buff","","Minion","","","","Remnant","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/WitchGrimFeast.webp"
"1788936761-21","https://poe2db.tw/us/Gem#SpiritGems","Mana Remnants","Mana Remnants (4)Buff, Persistent, Remnant","Buff, Persistent, Remnant","Persistent","","","","","","","Buff","","","","","","Remnant","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/SorceressEnergyRemnants.webp"
"1788936761-22","https://poe2db.tw/us/Gem#SpiritGems","Raging Spirits","Raging Spirits (4)Buff, Minion, Persistent, Fire, Duration","Buff, Minion, Persistent, Fire, Duration","Persistent","","","","","","","Buff","","Minion","Duration","","","","Fire","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/WitchReservationRaginSpirits.webp"
"1788936761-23","https://poe2db.tw/us/Gem#SpiritGems","Ravenous Swarm","Ravenous Swarm (4)Buff, Minion, Persistent, Physical, Chaos, Duration","Buff, Minion, Persistent, Physical, Chaos, Duration","Persistent","","","","Chaos","","Physical","Buff","","Minion","Duration","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/WitchRavenousSwarm.webp"
"1788936761-24","https://poe2db.tw/us/Gem#SpiritGems","Withering Presence","Withering Presence (4)Buff, Persistent, Aura, Chaos, Duration","Buff, Persistent, Aura, Chaos, Duration","Persistent","","","","Chaos","","","Buff","","","Duration","Aura","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/WitchWitheringPresence.webp"
"1788936761-25","https://poe2db.tw/us/Gem#SpiritGems","Blasphemy","Blasphemy (8)Buff, Persistent, AoE, Aura, Meta","Buff, Persistent, AoE, Aura, Meta","Persistent","","","AoE","","","","Buff","","","","Aura","","","","","","","Meta","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/WitchBlasphemy.webp"
"1788936761-26","https://poe2db.tw/us/Gem#SpiritGems","Blink","Blink (8)Buff, Spell, Persistent, Travel","Buff, Spell, Persistent, Travel","Persistent","","","","","Spell","","Buff","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/SorceressBlinkReservation.webp"
"1788936761-27","https://poe2db.tw/us/Gem#SpiritGems","Cast on Minion Death","Cast on Minion Death (8)Buff, Minion, Persistent, Trigger, Meta","Buff, Minion, Persistent, Trigger, Meta","Persistent","","","","","","","Buff","","Minion","","","Trigger","","","","","","Meta","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/CastOnMinionDeath.webp"
"1788936761-28","https://poe2db.tw/us/Gem#SpiritGems","Siphon Elements","Siphon Elements (8)Buff, Persistent, Lightning, Cold, Fire, Remnant","Buff, Persistent, Lightning, Cold, Fire, Remnant","Persistent","","","","","","","Buff","","","","","","Remnant","Fire","","Lightning","Cold","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/SiphonElements.webp"
"1788936761-29","https://poe2db.tw/us/Gem#SpiritGems","Archmage","Archmage (14)Buff, Persistent, Lightning","Buff, Persistent, Lightning","Persistent","","","","","","","Buff","","","","","","","","","Lightning","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/ArchmageSkill.webp"
"1788936761-30","https://poe2db.tw/us/Gem#SpiritGems","Cast on Critical","Cast on Critical (14)Buff, Persistent, Trigger, Meta","Buff, Persistent, Trigger, Meta","Persistent","","","","","","","Buff","","","","","Trigger","","","","","","Meta","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/CastOnCritSkill.webp"
"1788936761-31","https://poe2db.tw/us/Gem#SpiritGems","Cast on Elemental Ailment","Cast on Elemental Ailment (14)Buff, Persistent, Trigger, Lightning, Cold, Fire, Meta","Buff, Persistent, Trigger, Lightning, Cold, Fire, Meta","Persistent","","","","","","","Buff","","","","","Trigger","","Fire","","Lightning","Cold","Meta","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/CastonFreezeShockIgnite.webp"
"1788936761-32","https://poe2db.tw/us/Gem#SpiritGems","Elemental Conflux","Elemental Conflux (14)Buff, Persistent, Lightning, Cold, Fire, Duration","Buff, Persistent, Lightning, Cold, Fire, Duration","Persistent","","","","","","","Buff","","","Duration","","","","Fire","","Lightning","Cold","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/ElementalConfluxSkill.webp"
"1788936761-33","https://poe2db.tw/us/Gem#SpiritGems","Sacrifice","Sacrifice (14)Buff, Minion, Persistent","Buff, Minion, Persistent","Persistent","","","","","","","Buff","","Minion","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/HarvesterSkill.webp"
"1788936761-34","https://poe2db.tw/us/Gem#SpiritGems","Attrition","Attrition (4)Buff, Persistent","Buff, Persistent","Persistent","","","","","","","Buff","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/AttritionSkill.webp"
"1788936761-35","https://poe2db.tw/us/Gem#SpiritGems","Briarpatch","Briarpatch (4)Buff, Spell, Persistent, AoE, Sustained, Physical, Duration, Plant","Buff, Spell, Persistent, AoE, Sustained, Physical, Duration, Plant","Persistent","","","AoE","","Spell","Physical","Buff","","","Duration","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/DruidBriarpatch.webp"
"1788936761-36","https://poe2db.tw/us/Gem#SpiritGems","Ghost Dance","Ghost Dance (4)Buff, Persistent","Buff, Persistent","Persistent","","","","","","","Buff","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/MonkGhostDance.webp"
"1788936761-37","https://poe2db.tw/us/Gem#SpiritGems","Herald of Blood","Herald of Blood (4)Buff, Attack, Persistent, AoE, Physical, Herald, Payoff","Buff, Attack, Persistent, AoE, Physical, Herald, Payoff","Persistent","Attack","Herald","AoE","","","Physical","Buff","Payoff","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/HeraldOfBloodSkill.webp"
"1788936761-38","https://poe2db.tw/us/Gem#SpiritGems","Herald of Ice","Herald of Ice (4)Buff, Attack, Persistent, AoE, Cold, Herald, Payoff","Buff, Attack, Persistent, AoE, Cold, Herald, Payoff","Persistent","Attack","Herald","AoE","","","","Buff","Payoff","","","","","","","","","Cold","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/HeraldOfIceSkill.webp"
"1788936761-39","https://poe2db.tw/us/Gem#SpiritGems","Savage Fury","Savage Fury (4)Buff, Persistent, Duration","Buff, Persistent, Duration","Persistent","","","","","","","Buff","","","Duration","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/DruidWildBeast.webp"
"1788936761-40","https://poe2db.tw/us/Gem#SpiritGems","War Banner","War Banner (4)Banner, Buff, Persistent, AoE, Aura, Duration, Conditional","Banner, Buff, Persistent, AoE, Aura, Duration, Conditional","Persistent","","","AoE","","","","Buff","","","Duration","Aura","","","","Banner","","","","Conditional","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/WarBannerSkill.webp"
"1788936761-41","https://poe2db.tw/us/Gem#SpiritGems","Barkskin","Barkskin (8)Buff, Persistent, Duration","Buff, Persistent, Duration","Persistent","","","","","","","Buff","","","Duration","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/DruidBarkSkin.webp"
"1788936761-42","https://poe2db.tw/us/Gem#SpiritGems","Barrier Invocation","Barrier Invocation (8)Buff, Persistent, Trigger, Invocation, Meta","Buff, Persistent, Trigger, Invocation, Meta","Persistent","","","","","","","Buff","","","","","Trigger","","","","","","Meta","","Invocation","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/SorceressBarrierInvocation.webp"
"1788936761-43","https://poe2db.tw/us/Gem#SpiritGems","Defiance Banner","Defiance Banner (8)Banner, Buff, Persistent, AoE, Aura, Duration, Conditional","Banner, Buff, Persistent, AoE, Aura, Duration, Conditional","Persistent","","","AoE","","","","Buff","","","Duration","Aura","","","","Banner","","","","Conditional","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/DefianceBannerSkill.webp"
"1788936761-44","https://poe2db.tw/us/Gem#SpiritGems","Elemental Invocation","Elemental Invocation (8)Buff, Persistent, Trigger, Lightning, Cold, Fire, Invocation, Meta","Buff, Persistent, Trigger, Lightning, Cold, Fire, Invocation, Meta","Persistent","","","","","","","Buff","","","","","Trigger","","Fire","","Lightning","Cold","Meta","","Invocation","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/ElementalInvocationSkill.webp"
"1788936761-45","https://poe2db.tw/us/Gem#SpiritGems","Lingering Illusion","Lingering Illusion (8)Buff, Persistent, Duration, Remnant","Buff, Persistent, Duration, Remnant","Persistent","","","","","","","Buff","","","Duration","","","Remnant","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/MonkLingeringIllusion.webp"
"1788936761-46","https://poe2db.tw/us/Gem#SpiritGems","Shard Scavenger","Shard Scavenger (8)Buff, Persistent, Physical, Lightning, Cold, Fire, Duration","Buff, Persistent, Physical, Lightning, Cold, Fire, Duration","Persistent","","","","","","Physical","Buff","","","Duration","","","","Fire","","Lightning","Cold","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/MercShardDespoiler.webp"
"1788936761-47","https://poe2db.tw/us/Gem#SpiritGems","Wolf Pack","Wolf Pack (8)Minion, Companion, Persistent, Physical","Minion, Companion, Persistent, Physical","Persistent","","","","","","Physical","","","Minion","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/DruidSummonWolf.webp"
"1788936761-48","https://poe2db.tw/us/Gem#SpiritGems","Cast on Dodge","Cast on Dodge (14)Buff, Persistent, Trigger, Meta","Buff, Persistent, Trigger, Meta","Persistent","","","","","","","Buff","","","","","Trigger","","","","","","Meta","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/CastOnDodgeRollSkill.webp"
"1788936761-49","https://poe2db.tw/us/Gem#SpiritGems","Charge Regulation","Charge Regulation (14)Buff, Persistent","Buff, Persistent","Persistent","","","","","","","Buff","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/ChargeMasteryDeath.webp"
"1788936761-50","https://poe2db.tw/us/Gem#SpiritGems","Dread Banner","Dread Banner (14)Banner, Buff, Persistent, AoE, Aura, Duration, Conditional","Banner, Buff, Persistent, AoE, Aura, Duration, Conditional","Persistent","","","AoE","","","","Buff","","","Duration","Aura","","","","Banner","","","","Conditional","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/DreadBannerSkill.webp"
"1788936761-51","https://poe2db.tw/us/Gem#SpiritGems","Feral Invocation","Feral Invocation (14)Buff, Persistent, Invocation, Meta","Buff, Persistent, Invocation, Meta","Persistent","","","","","","","Buff","","","","","","","","","","","Meta","","Invocation","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/DruidFeralInvocation.webp"
"1788936761-52","https://poe2db.tw/us/Gem#SpiritGems","Reaper's Invocation","Reaper's Invocation (14)Buff, Persistent, Trigger, Invocation, Meta","Buff, Persistent, Trigger, Invocation, Meta","Persistent","","","","","","","Buff","","","","","Trigger","","","","","","Meta","","Invocation","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/MeleeInvocationSkill.webp"
"1788936761-53","https://poe2db.tw/us/Gem#SpiritGems","Trinity","Trinity (14)Buff, Persistent, Lightning, Cold, Fire","Buff, Persistent, Lightning, Cold, Fire","Persistent","","","","","","","Buff","","","","","","","Fire","","Lightning","Cold","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/HuntressTrinitySkillIcon.webp"
