web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,image
"1788936909-15","https://poe2db.tw/us/Gem#UnknownSupport","Unyielding","","","","","UnyieldingSupport, Attack, MeleeSupports Melee Attack Skills you use yourself. While using Supported Skills, a percentage of Damage taken is Recouped as Life, with the percentage scaling higher the longer the Attack time of the Supported Skill. Cannot Support Channelling Skills.","Support, Attack, Melee","Support","","","Melee","Attack","","Channelling","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/UnyieldingSupport.webp"
"1788936909-16","https://poe2db.tw/us/Gem#UnknownSupport","Desperation","","","","","DesperationSupport, Attack, MeleeSupports Melee Attack Skills you use yourself. Insufficient Mana doesn't prevent Supported Skills from being used while Surrounded.","Support, Attack, Melee","Support","","","Melee","Attack","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/DesperationSupport.webp"
"1788936909-17","https://poe2db.tw/us/Gem#UnknownSupport","Ancestral Aid","","","","","Ancestral AidSupport, Attack, Melee, Strike, ConditionalSupports Strikes you use yourself. Supported Skills cannot be used until you have Blocked a certain number of Hits, but will be Ancestrally Boosted when used. After use, this Blocked Hit counter will reset. Cannot Support Channelled Skills or Skills which already have a Condition for use.","Support, Attack, Melee, Strike, Conditional","Support","","","Melee","Attack","","Channelled","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/AncestralAidSupport.webp"
"1788936909-18","https://poe2db.tw/us/Gem#UnknownSupport","Unsteady Tempo","","","","","Unsteady TempoSupport, Attack, MeleeSupports Melee Attack Skills you use yourself. Attacking with Supported Skills will cycle through various effects, with the first Attack in sequence inflicting Hobble on you. The second and third Attacks in sequence will powerfully scale chance to Critically Hit and overall damage, respectively, at which point the cycle will reset. Cannot Support Channelling Skills.","Support, Attack, Melee","Support","","","Melee","Attack","","Channelling","","","","","","","Critically Hit","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/UnsteadyTempoSupport.webp"
"1788936909-19","https://poe2db.tw/us/Gem#UnknownSupport","Ancestral Call III","","","","","Ancestral Call IIISupport, Attack, Melee, StrikeSupports Strikes you use yourself, providing a powerful Ancestral Boost every second, at the cost of a damage penalty. Cannot Support Channelled Skills and does not modify Skills used by Minions.","Support, Attack, Melee, Strike","Support","","","Melee","Attack","","Channelled","","","Minions","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/AncestralCallSupport.webp"
"1788936909-20","https://poe2db.tw/us/Gem#UnknownSupport","Relentless Rage","","","","","Relentless RageSupportSupports Skills you use yourself. On spending Rage with any skill you will gain a Buff. Using Supported Skills consumes this Buff to grant you Rage.","Support","Support","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/GrudgeSupport.webp"
"1788936909-21","https://poe2db.tw/us/Gem#UnknownSupport","Ruthless","","","","","RuthlessSupportSupports Attacks, causing repeated uses to be more effective at Stunning enemies.","Support","Support","","","","","","","","","","Stunning","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/RuthlessSupport.webp"
"1788936909-22","https://poe2db.tw/us/Gem#UnknownSupport","Unbreakable","","","","","UnbreakableSupportSupports any skill that you can use, making you harder to Stun while using it.","Support","Support","","","","","","","","","","Stun","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/UnbreakableSupport.webp"
"1788936909-23","https://poe2db.tw/us/Gem#UnknownSupport","Prolonged Duration III","","","","","Prolonged Duration IIISupport, DurationSupports any skill that has a duration, making that duration significantly longer while applying a cooldown. Cannot support Skills which already have a cooldown.","Support, Duration","Support","","","","","","","","","","","","Duration","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/MoreDurationSupport.webp"
"1788936909-24","https://poe2db.tw/us/Gem#UnknownSupport","Flame Pillar","","","","","Flame PillarSupport, AoE, Trigger, FireSupports any Skill you use yourself which can cause Damaging Hits. Supported Skills Consume Ignite on Hit to create pillars of flame, but cannot themselves inflict Ignite. Cannot Support Skills which already Consume Ignite, and does not modify the Skills of Minions.","Support, AoE, Trigger, Fire","Support","","","","","","","","","Minions","","","","","Trigger","AoE","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/PillarofFireSupport.webp"
"1788936909-25","https://poe2db.tw/us/Gem#UnknownSupport","[DNT] Totemic Aegis","","","","","[DNT] Totemic AegisSupport, Attack, AoE, Melee, Trigger, Physical, Duration[DNT] Totemic Aegis","Support, Attack, AoE, Melee, Trigger, Physical, Duration","Support","","","Melee","Attack","","","","Physical","","","","Duration","","Trigger","AoE","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/BlankRedSupport.webp"
"1788936909-26","https://poe2db.tw/us/Gem#UnknownSupport","[DNT] Stone Slam Aegis","","","","","[DNT] Stone Slam AegisSupport","Support","Support","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/BlankWhiteSupport.webp"
"1788936909-27","https://poe2db.tw/us/Gem#UnknownSupport","Devastate","","Broken Armour","","","DevastateSupportSupports any skill that Hits enemies, causing them to apply Broken Armour to enemies when causing a Heavy Stun to enemies.","Support","Support","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/DevastateSupport.webp"
"1788936909-28","https://poe2db.tw/us/Gem#UnknownSupport","Break Endurance","","Fully Breaks","","","Break EnduranceSupportSupports any skill that Hits enemies, giving it a chance to gain an Endurance Charge when it Fully Breaks an enemy's Armour.","Support","Support","","","","","Armour","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/BreakEndurance.webp"
"1788936909-29","https://poe2db.tw/us/Gem#UnknownSupport","Premeditation","","","","","PremeditationSupportSupports skills that can Empower skills other than themselves, causing skills they Empower to deal more damage.","Support","Support","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/EmpoweredDamageSupport.webp"
"1788936909-30","https://poe2db.tw/us/Gem#UnknownSupport","Undermine","","Breaking","","","UndermineSupport, PhysicalSupports Attack Skills. Supported Skills Consume Maim on hit, Breaking a percentage of the Maimed target's Armour in doing so. Supported Skills cannot themselves inflict Maim.","Support, Physical","Support","","","","","Armour","","","Physical","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/UndermineSupport.webp"
"1788936909-31","https://poe2db.tw/us/Gem#UnknownSupport","See Red","","","","","See RedSupport, Attack, PhysicalSupports Attack Skills. Bleeding inflicted with Supported Skills lasts significantly longer, but enemies you inflict Bleeding onto with Supported Skills will move and Attack faster.","Support, Attack, Physical","Support","","","","Attack","","","","Physical","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/SeeRedSupport.webp"
"1788936909-32","https://poe2db.tw/us/Gem#UnknownSupport","","Outmaneuver","Break Armour","","","OutmaneuverSupport, PhysicalSupports Skills you use yourself which can cause Damaging Hits. Supported Skills Break Armour against Parried Enemies.","Support, Physical","Support","","","","","","","","Physical","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/OutmaneuverSupport.webp"
"1788936909-33","https://poe2db.tw/us/Gem#UnknownSupport","","[DNT] Tekaru's Snare","","","","[DNT] Tekaru's SnareSupport, Mark, Physical, Hazard[DNT] Supports Mark Skills. Trigger Savage Snare when you Mark enemies with Supported Skills.","Support, Mark, Physical, Hazard","Support","","","","","","","","Physical","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DItems/Gems/New/NewSupport/Lineage/TekarusSnare.webp"
"1788936909-34","https://poe2db.tw/us/Gem#UnknownSupport","","Tumult","Break Armour","","","TumultSupport, PhysicalSupports Skills you use yourself which can cause Damaging Hits. Supported Skills consume a Frenzy Charge on use to powerfully Break Armour.","Support, Physical","Support","","","","","","","","Physical","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/TumultSupport.webp"
"1788936909-35","https://poe2db.tw/us/Gem#UnknownSupport","","Hobble","","","","HobbleSupport, PhysicalSupports Skills that Hit Enemies, causing those Hits to Hobble Bleeding Enemies based on a portion of Physical Damage dealt.","Support, Physical","Support","","","","","","","","Physical","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/BloodintheEyesSupport.webp"
"1788936909-36","https://poe2db.tw/us/Gem#UnknownSupport","","Untouchable","","","","UntouchableSupport, AttackSupports Attack Skills you use yourself. While using Supported Skills, you gain increased Evasion Rating, with the increase scaling higher the longer the Attack time of the supported Skill. Cannot Support Channelling Skills.","Support, Attack","Support","","","","Attack","","Channelling","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/UntouchableSupport.webp"
"1788936909-37","https://poe2db.tw/us/Gem#UnknownSupport","","Charm Bounty","","","","Charm BountySupportSupports any Skill that Hits Enemies, causing Enemies it kills to grant more Charm charges.","Support","Support","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/CharmBountySupport.webp"
"1788936909-38","https://poe2db.tw/us/Gem#UnknownSupport","","[DNT] Tangmazu Lineage","","","","[DNT] Tangmazu LineageSupport, Lineage, Buff, Persistent[DNT] Tangmazu Lineage","Support, Lineage, Buff, Persistent","Support","","","","","","","Buff","","","","","","","","","","","","","Lineage","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/BlankGreenSupport.webp"
"1788936909-39","https://poe2db.tw/us/Gem#UnknownSupport","","[DNT-UNUSED] Titanic Arrows","","","","[DNT-UNUSED] Titanic ArrowsSupport, AoE, Trigger, Physical[DNT-UNUSED] Supports Bow Attacks which impact the ground, triggering stunning novas when they do.","Support, AoE, Trigger, Physical","Support","","","","","","","","Physical","","","","","","Trigger","AoE","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/TitanicArrowsSupport.webp"
"1788936909-40","https://poe2db.tw/us/Gem#UnknownSupport","","Unerring Power","","","","Unerring PowerSupport, AttackSupports Attack Skills you use yourself. When Supported Attacks are Empowered, they have significantly lowered cost and raised Accuracy.","Support, Attack","Support","","","","Attack","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/DiscountSupport.webp"
"1788936909-41","https://poe2db.tw/us/Gem#UnknownSupport","","Excoriate","","","","ExcoriateSupport, Attack, MeleeSupports Melee Attack Skills. Supported Skills deal more Melee Damage for each Elemental Ailment on Enemies they hit, but cannot themselves inflict Elemental Ailments.","Support, Attack, Melee","Support","","","Melee","Attack","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/ElementalAssaultSupport.webp"
"1788936909-42","https://poe2db.tw/us/Gem#UnknownSupport","","[DNT-UNUSED] Spectral Palm","","","","[DNT-UNUSED] Spectral PalmSupport[DNT-UNUSED] Spectral Palm","Support","Support","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/SpectralPalmSupport.webp"
"1788936909-43","https://poe2db.tw/us/Gem#UnknownSupport","","Infusion","","","","InfusionSupport, BuffSupports Persistent Buff Skills, making the Buff they grant more powerful.","Support, Buff","Support","","","","","","","Buff","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DItems/Gems/New/NewSupport/BuffedHeraldSupportGem.webp"
"1788936909-44","https://poe2db.tw/us/Gem#UnknownSupport","","[DNT-UNUSED] Spiral Projectiles I","","","","[DNT-UNUSED] Spiral Projectiles ISupport, Projectile[DNT-UNUSED] Spiral Proj","Support, Projectile","Support","","","","","","","","","","","Projectile","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/SpiralProjectilesSupport.webp"
"1788936909-45","https://poe2db.tw/us/Gem#UnknownSupport","","Wind Wave","","","","Wind WaveSupport, AoE, TriggerSupports any skill that you can use, triggering a blast of wind that Knocks Back enemies if you are Stunned while using it.","Support, AoE, Trigger","Support","","","","","","","","","","Stunned","","","","Trigger","AoE","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/KnockbackWaveSupport.webp"
"1788936909-46","https://poe2db.tw/us/Gem#UnknownSupport","","Dazzle","","","","DazzleSupport, AttackSupports Attack Skills. Supported Skills always hit Dazed Enemies, but Consume Daze on Hit, and cannot themselves inflict Daze. Cannot Support Skills which Consume Daze.","Support, Attack","Support","","","","Attack","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/DazzleSupport.webp"
"1788936909-47","https://poe2db.tw/us/Gem#UnknownSupport","","Fusillade","","","","FusilladeBow, Support, Attack, Projectile[DNT-UNUSED] Supports Bow Attacks you use yourself. Supported Attacks fire multiple projectiles into the air,","Bow, Support, Attack, Projectile","Support","","","","Attack","","","","","","","Projectile","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/FusilladeSupport.webp"
"1788936909-48","https://poe2db.tw/us/Gem#UnknownSupport","","Chance to Freeze","","","","Chance to FreezeSupport","Support","Support","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DItems/Gems/Support/ChancetoFlee.webp"
"1788936909-49","https://poe2db.tw/us/Gem#UnknownSupport","","Adhesive Grenades III","","","","Adhesive Grenades IIISupport, GrenadeSupports Grenade Skills. Grenades from Supported Skills do not bounce, instead halting movement where they intially land. Grenades from Supported Skills have longer cooldowns, and a chance to detonate an additional time.","Support, Grenade","Support","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/StickyBombSupport.webp"
"1788936909-50","https://poe2db.tw/us/Gem#UnknownSupport","","Flow","","","","FlowSupportSupports Skills which require Combo to use. Supported Skills lose their Combo stacks after a longer delay spent not gaining any Combo.","Support","Support","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/LingeringComboSupport.webp"
"1788936909-51","https://poe2db.tw/us/Gem#UnknownSupport","","Leverage","","","","LeverageSupportSupports Skills which Hit Enemies. Supported Skills gain increased chance to Critically Hit against Immobilised Enemies.","Support","Support","","","","","","","","","","","","","chance to Critically Hit","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/LeverageSupport.webp"
"1788936909-52","https://poe2db.tw/us/Gem#UnknownSupport","","Break Posture","Break Armour","","","Break PostureSupport, AttackSupports Attacks, causing them to Daze Enemies when they fully Break Armour.","Support, Attack","Support","","","","Attack","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/DazedBreakSupport.webp"
"1788936909-53","https://poe2db.tw/us/Gem#UnknownSupport","","Daze","","","","DazeSupport, Attack, PhysicalSupports Attacks, causing them to build up Daze based on a portion of Physical Damage dealt.","Support, Attack, Physical","Support","","","","Attack","","","","Physical","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/DazingSupport.webp"
"1788936909-54","https://poe2db.tw/us/Gem#UnknownSupport","","","","Invocation","","InvocationSupport, Spell, TriggerSupports Spell skills, causing them to reduce the cast time of other skills when used. Cannot support Totem skills, Channelling skills, Triggering skills, instant skills, or skills with a Reservation.","Support, Spell, Trigger","Support","","","","","","Channelling","","","","","","","","Trigger","","Spell","Spell","","","","https://cdn.poe2db.tw/image/Art/2DItems/Gems/Support/UnleashSupport.webp"
"1788936909-55","https://poe2db.tw/us/Gem#UnknownSupport","","","","Energy Barrier","","Energy BarrierSupportSupports any skill that you can use, causing Energy Shield recharge to begin immediately if you are Stunned while using it.","Support","Support","","","","","","","","","","Stunned","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/EnergyBarrierSupport.webp"
"1788936909-56","https://poe2db.tw/us/Gem#UnknownSupport","","","","Spreading Frost","","Spreading FrostSupport, ColdSupports any skill that hits enemies, causing them to Chill enemies near enemies they Freeze.","Support, Cold","Support","","","","","","","","","","","","","","","","","","","Cold","","https://cdn.poe2db.tw/image/Art/2DItems/Gems/New/NewSupport/BlankBlueSupportGem.webp"
"1788936909-57","https://poe2db.tw/us/Gem#UnknownSupport","","","","Unbending","","UnbendingSupport, SpellSupports Spell Skills you use yourself. While using Supported Skills, a percentage of Damage taken is Recouped as Mana, with the percentage scaling higher the longer the Cast time of the Supported Skill. Cannot Support Channelling Skills.","Support, Spell","Support","","","","","","Channelling","","","","","","","","","","Spell","Spell","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/UnbendingSupport.webp"
"1788936909-58","https://poe2db.tw/us/Gem#UnknownSupport","","","","[DNT] From the Grave","","[DNT] From the GraveSupport, Minion, AoE, Projectile, Trigger, Cold[DNT] From the Grave Support","Support, Minion, AoE, Projectile, Trigger, Cold","Support","","","","","","","","","","","Projectile","","","Trigger","AoE","","","","Cold","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/BlankRedSupport.webp"
"1788936909-59","https://poe2db.tw/us/Gem#UnknownSupport","","","","Enervation","","EnervationSupportSupports any skill that Hits enemies, causing you to regenerate mana on shocking an enemy. Cannot support skills which create Minions, or skills used by Totems or Traps.","Support","Support","","","","","","","","","Minions","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DItems/Gems/New/NewSupport/EnervationSupportGem.webp"
"1788936909-60","https://poe2db.tw/us/Gem#UnknownSupport","","","","Frozen Vortex","","Frozen VortexSupport, AoE, Trigger, Cold, DurationSupports any skill that Hits enemies, causing it to create an icy vortex on Shattering an enemy.","Support, AoE, Trigger, Cold, Duration","Support","","","","","","","","","","","","Duration","","Trigger","AoE","","","","Cold","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/FrozenVortexSupport.webp"
"1788936909-61","https://poe2db.tw/us/Gem#UnknownSupport","","","","Hinder","","HinderSupport, Spell, ChaosSupports Spells that deal non-Ailment Chaos damage over time, causing damage over time they inflict to also Hinder enemies. Does not Support Skills used by Minions.","Support, Spell, Chaos","Support","","","","","","","","","Minions","","","","","","","Spell","Spells","Chaos","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/HinderSupport.webp"
"1788936909-62","https://poe2db.tw/us/Gem#UnknownSupport","","","","Soulbreaker","","SoulbreakerSupport, AoE, ChaosSupports skills you use yourself, causing them to Trigger a Chaos Damage nova when breaking Enemy Energy Shield.","Support, AoE, Chaos","Support","","","","","","","","","","","","","","","AoE","","","Chaos","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/SoulbreakerSupport.webp"
"1788936909-63","https://poe2db.tw/us/Gem#UnknownSupport","","","","Volatile Power","","Volatile PowerSupport, Physical, ChaosSupports Skills which you use yourself. On using Supported Skills while they are Empowered, you gain Volatility.","Support, Physical, Chaos","Support","","","","","","","","Physical","","","","","","","","","","Chaos","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/VolatilePowerSupport.webp"
"1788936909-64","https://poe2db.tw/us/Gem#UnknownSupport","","","","Potential","","PotentialSupportSupports Skills that you use yourself. Supported Skills will consume a Power Charge on use if possible, and will be much more likely to Critically Hit if they do. Supported Skills cannot generate Power Charges. Cannot Support Skills which consume Power Charges.","Support","Support","","","","","","","","","","","","","Critically Hit","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/PotentialSupport.webp"
"1788936909-65","https://poe2db.tw/us/Gem#UnknownSupport","","","","Nadir","","NadirSupport, Staged[DNT-UNUSED] Supports Skills which gain Stages or Seals. Supported Skills have lower Maximum Stage or Seal count, but have a Minimum Stage or Seal count they cannot fall below.","Support, Staged","Support","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/NadirSupport.webp"
"1788936909-66","https://poe2db.tw/us/Gem#UnknownSupport","","","","Hoarfrost","","HoarfrostSupport, Spell, AoE, Trigger, Cold, DurationSupports Skills which create Ice Crystals. Supported Skills create chilling areas which deal Cold Damage over time instead of creating Ice Crystals.","Support, Spell, AoE, Trigger, Cold, Duration","Support","","","","","","","","","","","","Duration","","Trigger","AoE","Spell","","","Cold","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/HoarfrostSupport.webp"
"1788936909-67","https://poe2db.tw/us/Gem#UnknownSupport","","","","Rime","","RimeSupport, ColdSupports Skills which create Ground Surfaces, causing Enemies Chilled by those Surfaces to be more easily Frozen, but at the cost of some Chill magnitude.","Support, Cold","Support","","","","","","","","","","","","","","","","","","","Cold","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/WinterblastSupport.webp"
"1788936909-68","https://poe2db.tw/us/Gem#UnknownSupport","","","","Magnetic Remnants","","Magnetic RemnantsSupportSupports Skills which create Remnants, allowing those Remnants to be collected from further away.","Support","Support","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/RemnantReachSupport.webp"
"1788936909-69","https://poe2db.tw/us/Gem#UnknownSupport","","","","","[DNT] Arbiters Calling","[DNT] Arbiters CallingSupport, Lineage[DNT] Description","Support, Lineage","Support","","","","","","","","","","","","","","","","","","","","Lineage","https://cdn.poe2db.tw/image/Art/2DItems/Gems/New/NewSupport/Lineage/ArbitersCalling.webp"
"1788936909-70","https://poe2db.tw/us/Gem#UnknownSupport","","","","","[DNT] Wendigos Authority","[DNT] Wendigos AuthoritySupport, Lineage[DNT] Description","Support, Lineage","Support","","","","","","","","","","","","","","","","","","","","Lineage","https://cdn.poe2db.tw/image/Art/2DItems/Gems/New/NewSupport/Lineage/WendigosAuthority.webp"
