web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,image
"1788938433-11","https://poe2db.tw/us/Unique_item#CultivatedUniques","Glimpse of Chaos","+(50—150)","(1—60)% increased Chaos Damage","(1—60)","","","Fire","","","+(50—150)","+(50—150) to maximum Life","(-30—30)% to Fire Resistance","+(50—150)","+(50—150) to maximum Mana","(-30—30)","(-30—30)% to Cold Resistance","+(50—150) to maximum Energy Shield","(-30—30)","(1—60)% increased Lightning Damage","(1—60)","(1—60)% increased Cold Damage","(1—60)","(-30—30)","(-30—30)% to Lightning Resistance","(1—60)% increased Fire Damage","","Chaos Resistance is zero","Can be modified while Corrupted","(1—60)","+(1—60)","+(1—60)% to Chaos Resistance","Lightning Resistance","","","","","","Cold Resistance","","","Fire Resistance","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DItems/Armours/Helmets/Uniques/GlimpseOfChaos.webp"
"1788938433-12","https://poe2db.tw/us/Unique_item#CultivatedUniques","Seed of Cataclysm","(-15—15)","(30—50)% chance to grant Volatility on Critical Hit","(30—50)","","","","","","(30—50)","(30—50)% increased Critical Hit Chance for Spells","10% increased Mana Cost of Skills","(30—50)","(30—50)% increased Critical Spell Damage Bonus","10","+(13—17)% to Chaos Resistance","(-15—15)% reduced Cast Speed if you've dealt a Critical Hit Recently","+(13—17)","","(5—10)","(5—10)% chance for Spell Skills to fire 8 additional Projectiles in a circle","","","","","","","","","","","","","","","","","Chaos Resistance","","","","Spell","","","","","","","","https://cdn.poe2db.tw/image/Art/2DItems/Rings/Uniques/SeedOfCataclysm.webp"
"1788938433-13","https://poe2db.tw/us/Unique_item#CultivatedUniques","Plaguefinger","+1","(5—10)% Global chance to Blind Enemies on Hit","(5—10)","Hit","Poison","","","","(4—6)","(30—50)% increased Evasion and Energy Shield","All Damage from Hits Contributes to Poison Magnitude","(30—50)","(4—6)% increased Attack Speed","","(20—30)% chance to Poison on Hit","+1 to Level of all Chaos Skills","(20—30)","(30—60)% increased Magnitude of Poison you inflict on targets that are not Poisoned","(10—16)","(10—16)% increased Magnitude of Poison you inflict","(30—60)","","","","","","","","","","","","","","","","","Evasion","","","","","","","","Energy Shield","","Contributes","https://cdn.poe2db.tw/image/Art/2DItems/Armours/Gloves/Uniques/Plaguefinger.webp"
"1788938433-14","https://poe2db.tw/us/Unique_item#CultivatedUniques","Bloodbarrier","(20—30)","(5—10)% of Damage taken Recouped as Life","(5—10)","Block","","","","","(5—10)","(10—15)% increased Block chance","+(13—17)% to Chaos Resistance","(10—15)","(5—10) Life Regeneration per second","+(13—17)","Inflict Corrupted Blood for 5 seconds on Block, dealing 50% of
your maximum Life as Physical damage per second","(20—30)% increased Stun Threshold","5","","(5—10)","(5—10)% increased maximum Life","","","","","","","","","","","","","","","","","","","Recouped","Chaos Resistance","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DItems/Offhand/Shields/Uniques/BloodBarrier.webp"
"1788938433-15","https://poe2db.tw/us/Unique_item#CultivatedUniques","Serpent's Lesson","+(60—100)","(5—10)% of Damage Taken Recouped as Life, Mana and Energy Shield","(5—10)","","","","","","+(60—100)","+(60—100) to maximum Life","You count as on Low Life while at 35% of maximum Mana or below","+(60—100)","+(60—100) to maximum Mana","35","You count as on Low Mana while at 35% of maximum Life or below","+(60—100) to maximum Energy Shield","35","","","","","","","","","","","","","","","","","","","","","","Recouped","","","","Energy Shield","","","","","","https://cdn.poe2db.tw/image/Art/2DItems/Offhand/Foci/Uniques/TonesOfFate.webp"
"1788938433-16","https://poe2db.tw/us/Unique_item#CultivatedUniques","Zerphi's Genesis","(10—30)","(10—30)% increased Life Recovery from Flasks","(10—30)","","","","","","+(10—30)","(10—30)% increased Charm Charges used","50% of Charges consumed by used Charms are granted to your Life Flasks","(10—30)","+(10—30) to Strength","50","Corrupted Blood cannot be inflicted on you","(10—30)% increased Charm Charges gained","","Remove Bleeding when you use a Life Flask","0.5","Charms gain 0.5 charges per Second","","","","","","","","","","","","Strength","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DItems/Belts/Uniques/ZerphisGenesis.webp"
"1788938433-17","https://poe2db.tw/us/Unique_item#CultivatedUniques","Dream Fragments","10","(40—60)% increased Ice Crystal Life","(40—60)","","","","","","(30—50)","(10—15)% increased maximum Mana","You cannot be Chilled or Frozen","(10—15)","(30—50)% increased Mana Regeneration Rate","","","10% of Damage is taken from Mana before Life","","(50—100)% of Volatility Physical Damage Taken as Cold Damage","(1—2)","Recover (1—2)% of maximum Mana on Kill","(50—100)","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DItems/Rings/Uniques/DreamFragments.webp"
"1788938433-18","https://poe2db.tw/us/Unique_item#CultivatedUniques","Tetzlapokal's Desire","1","(10—15)% of Maximum Life Converted to Energy Shield","(10—15)","","","","","","+(20—30)","(100—150)% increased Energy Shield","+(17—23)% to Chaos Resistance","(100—150)","+(20—30) to Strength","+(17—23)","Life Recharges","1% increased Energy Shield Recharge Rate per 4 Strength","","","+(70—100)","+(70—100) to maximum Life","","+(20—30)","+(20—30) to Intelligence","","","","","","","","","Strength","","","","","","","","Chaos Resistance","","","Energy Shield","Intelligence","","Energy Shield","","","https://cdn.poe2db.tw/image/Art/2DItems/Armours/BodyArmours/Uniques/TetzlapokalsDesire.webp"
"1788938433-19","https://poe2db.tw/us/Unique_item#CultivatedUniques","Mask of the Stitched Demon","+(70—100)","+(60—80) to maximum Life","+(60—80)","","","","","","0.05","(120—160)% increased Energy Shield","+(17—23)% to Chaos Resistance","(120—160)","Regenerate 0.05 Life per second per Maximum Energy Shield","+(17—23)","","+(70—100) to maximum Energy Shield","","","+(17—23)","+(17—23) to all Attributes","","","","","","","","","","","","","","","","","","","","Chaos Resistance","","","","","Energy Shield","Energy Shield","","","https://cdn.poe2db.tw/image/Art/2DItems/Armours/Helmets/Uniques/MaskOfTheStitchedDemon.webp"
"1788938433-20","https://poe2db.tw/us/Unique_item#CultivatedUniques","Atziri's Acuity","+(100—150)","(5—10)% increased maximum Life","(5—10)","","","","","","+(100—150)","(150—200)% increased Armour","10% of Physical damage dealt by your Hits causes Blood Loss","(150—200)","+(100—150) to maximum Life","10","","+(100—150) to maximum Energy Shield","","","(30—50)","(30—50)% increased chance to inflict Bleeding","","","","","","","","","","","","","","","","","","","","","","","","","","","","Blood Loss","https://cdn.poe2db.tw/image/Art/2DItems/Armours/Gloves/Uniques/AtzirisAcuity.webp"
"1788938433-21","https://poe2db.tw/us/Unique_item#CultivatedUniques","Snakebite","(30—40)","(40—60)% reduced Poison Duration on you","(40—60)","","","","","","+(7—17)","(40—60)% increased Evasion Rating","(20—30)% chance to Poison on Hit","(40—60)","+(7—17)% to Chaos Resistance","(20—30)","Targets can be affected by +1 of your Poisons at the same time","(30—40)% increased Duration of Poisons you inflict when you've consumed a Frenzy Charge Recently","+1","","(0.5—1)","Recover (0.5—1)% of maximum Life per Poison affecting Enemies you Kill","","(6—10)","(6—10) Life Regeneration per second","","","","","","","","","","","","","","","Evasion","","","","","","","","","Frenzy Charge","","https://cdn.poe2db.tw/image/Art/2DItems/Armours/Gloves/Uniques/Snakebite.webp"
"1788938433-22","https://poe2db.tw/us/Unique_item#CultivatedUniques","Powertread","(-60—60)","(-60—60)% reduced Power Charge Duration","(-60—60)","","","","","Power Charge","(60—80)","+(10—20) to Intelligence","(15—20)% increased Movement Speed","+(10—20)","(60—80)% increased Evasion and Energy Shield","(15—20)","+1 to Maximum Power Charges","(-60—60)% reduced Critical Damage Bonus if you've consumed a Power Charge Recently","+1","","10","10% chance when you gain a Power Charge to gain an additional Power Charge","","12","12% increased Critical Damage Bonus per Power Charge","","(60—80)","(60—80)% increased Evasion and Energy Shield","","","","","","","","","","","","","","","","","","Intelligence","Energy Shield","","Power Charge","","https://cdn.poe2db.tw/image/Art/2DItems/Armours/Boots/Uniques/Powertread.webp"
"1788938433-23","https://poe2db.tw/us/Unique_item#CultivatedUniques","Apep's Supremacy","+(16—26)","Regenerate (1.5—3)% of maximum Life per second","(1.5—3)","","","","Poisoned","","20","(100—200)% increased Energy Shield","+25% chance to be Poisoned","(100—200)","20% of Elemental damage from Hits taken as Chaos damage","+25","(30—50)% faster start of Energy Shield Recharge","+(16—26)% to Chaos Resistance","(30—50)","","(30—40)","(30—40)% increased Magnitude of Poison you inflict while Poisoned","","(30—50)","(30—50)% increased Energy Shield Recharge Rate","","","","","","","","","","","","","","","","","","","","","","","Energy Shield","","","https://cdn.poe2db.tw/image/Art/2DItems/Offhand/Foci/Uniques/ApepsSupremacy.webp"
"1788938433-24","https://poe2db.tw/us/Unique_item#CultivatedUniques","Saitha's Spear","(30—50)","(15—25)% increased Flammability Magnitude","(15—25)","Aggravates all Ignites","","Culling Strike","","Bleeding","(33—41)","Adds (14—26) to (27—32) Physical Damage","(15—25)% chance to cause Bleeding on Hit","(14—26)","Adds (33—41) to (47—53) Fire Damage","(15—25)","Aggravating any Bleeding with this Weapon also Aggravates all Ignites on the target","(30—50)% chance to inflict Exposure on Hit","","+1 to Level of all Fire Skills","(300—400)","(300—400)% increased Physical Damage","+1","(25—40)","(25—40)% chance to Aggravate Bleeding on Hit","Hits with this Weapon have Culling Strike against Bleeding Enemies","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DItems/Weapons/OneHandWeapons/OneHandSpears/Uniques/SaithasSpear.webp"
"1788938433-25","https://poe2db.tw/us/Unique_item#CultivatedUniques","Serpent's Egg","50","(-60—60)% reduced Endurance, Frenzy and Power Charge Duration","(-60—60)","","","","","","+(17—23)","Gain an additional Charge when you gain a Charge","+(10—20) to all Attributes","","+(17—23)% to Chaos Resistance","+(10—20)","(20—30)% increased Mana Regeneration Rate","50% chance to gain an additional random Charge when you gain a Charge","(20—30)","","(10—15)","Skills have (10—15)% chance to not remove Charges but still count as consuming them","","","","","","","","","","","","","","","","","","","","","","","","","","","Charge","","https://cdn.poe2db.tw/image/Art/2DItems/Amulets/Uniques/TheSerpentsEgg.webp"
"1788938433-26","https://poe2db.tw/us/Unique_item#CultivatedUniques","Quatl's Molt","(60—80)","(10—20)% of Damage taken from Deflected Hits Recouped as Life","(10—20)","","","","","","+(60—80)","(60—80)% increased Evasion Rating","+(17—23)% to Chaos Resistance","(60—80)","+(60—80) to maximum Life","+(17—23)","(10—20) Life Regeneration per second","(60—80)% increased Chaos Damage","(10—20)","","+1","Targets can be affected by +1 of your Poisons at the same time","","","Cannot be Poisoned","","(40—60)","Gain Deflection Rating equal to (40—60)% of Evasion Rating","","","","","","","","","","","","Evasion","Recouped","Chaos Resistance","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DItems/Armours/BodyArmours/Uniques/QuatlsMolt.webp"
"1788938433-27","https://poe2db.tw/us/Unique_item#CultivatedUniques","Doryani's Prototype","(10—20)","(-60—60)% to Lightning Resistance","(-60—60)","Lightning","","","Elemental","Lightning Resistance","+(60—80)","(50—100)% increased Armour and Evasion","+100% of Armour also applies to Lightning Damage","(50—100)","+(60—80) to maximum Life","","Lightning Resistance does not affect Lightning damage taken","Damage Penetrates (10—20)% Lightning Resistance","","+(260—400) to Armour","","Your Hits can Penetrate Elemental Resistances down to a minimum of -50%","+(260—400)","","Enemies in your Presence have Lightning Resistance equal to yours","","","","","","","","","","","","","","Lightning Resistance","Evasion","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DItems/Armours/BodyArmours/Uniques/DoryanisPrototype.webp"
"1788938433-28","https://poe2db.tw/us/Unique_item#CultivatedUniques","Constricting Command","(-40—40)","Regenerate (0.5—1.5)% of maximum Life per second while Surrounded","(0.5—1.5)","","","","","","+(10—15)","+(80—120) to maximum Life","(8—12) Life Regeneration per second","+(80—120)","+(10—15) to all Attributes","(8—12)","Require (2—4) fewer enemies to be Surrounded","(-40—40)% reduced Attack Damage while Surrounded","(2—4)","(20—60)% increased Surrounded Area of Effect","+(60—75)","+(60—75) to Armour","(20—60)","","","","","","","","","","","","Surrounded","","","","","","","","","Attack","","","","","","","https://cdn.poe2db.tw/image/Art/2DItems/Armours/Helmets/Uniques/ConstrictingCommand.webp"
"1788938433-29","https://poe2db.tw/us/Unique_item#CultivatedUniques","Quecholli","(10—25)","(5—10)% chance for Slam Skills you use yourself to cause an additional Aftershock","(5—10)","","","","","","30","+(10—15) to all Attributes","(100—150)% increased Physical Damage","+(10—15)","Gain 30 Life per enemy killed","(100—150)","This Weapon's Critical Hit Chance is 100%","(10—25)% increased Area of Effect if you've Killed Recently","100","Adds (40—60) to (70—90) Physical Damage","(5—10)","(5—10)% increased Strength","(40—60)","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DItems/Weapons/TwoHandWeapons/TwoHandMaces/Uniques/Quecholli.webp"
"1788938433-30","https://poe2db.tw/us/Unique_item#CultivatedUniques","Snakepit","(5—10)","(-30—30)% reduced Mana Cost Efficiency","(-30—30)","Spells","","Elemental Infusions","","Spells","","(20—30)% increased Spell Damage","Left ring slot: Projectiles from Spells cannot Chain","(20—30)","Left ring slot: Projectiles from Spells Fork","","Right ring slot: Projectiles from Spells Chain +1 times","(5—10)% chance for Spell Skills to fire 2 additional Projectiles","1","(-30—30)% reduced Projectile Speed for Spell Skills","(-30—30)","Meta Skills gain (-30—30)% reduced Energy","(-30—30)","","Right ring slot: Projectiles from Spells cannot Fork","Skills have (5—10)% chance to not remove Elemental Infusions but still count as consuming them","","Projectiles from Spells cannot Pierce","(10—15)% increased Cast Speed","(5—10)","","","","","","","","","","","","","","","","","","","","Chain","https://cdn.poe2db.tw/image/Art/2DItems/Rings/Uniques/Snakepit.webp"
"1788938433-31","https://poe2db.tw/us/Unique_item#CultivatedUniques","The Vertex","(5—10)","(13—17)% increased Mana Cost Efficiency","(13—17)","","","","","","+(13—17)","(20—30)% increased Critical Hit Chance","(100—150)% increased Evasion and Energy Shield","(20—30)","+(13—17)% to Chaos Resistance","(100—150)","Equipment and Skill Gems have 50% reduced Attribute Requirements","(5—10)% increased Attributes","50","+(3—5) to Level of all Curse Skills","(20—30)","(20—30)% increased chance to inflict Ailments","+(3—5)","","","","","","","","","","","","","","Energy Shield","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DItems/Armours/Helmets/Uniques/TheVertex.webp"
"1788938433-32","https://poe2db.tw/us/Unique_item#CultivatedUniques","Mahuxotl's Machination","(33—66)","+(33—66)% of Armour also applies to Elemental Damage","+(33—66)","","","","","","(333—666)","(66—333)% increased effect of Socketed Soul Cores","Everlasting Sacrifice","(66—333)","(333—666)% increased Armour and Energy Shield","","","(33—66)% faster start of Energy Shield Recharge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Energy Shield","","","","https://cdn.poe2db.tw/image/Art/2DItems/Offhand/Shields/Uniques/MahuxotlsMachination.webp"
"1788938433-33","https://poe2db.tw/us/Unique_item#CultivatedUniques","Rathpith Globe","(8—15)","Non-Channelling Spells have 3% increased Magnitude of Ailments per 100 maximum Life","3","Spells","","","Critical Hit Chance","Spells","+(60—100)","(60—100)% increased Energy Shield","Non-Channelling Spells cost an additional 6% of your maximum Life
rathpith surge [1]","(60—100)","+(60—100) to maximum Life","6","Non-Channelling Spells deal 6% increased Damage per 100 maximum Life
rathpith surge [1]","(8—15)% increased Life Cost Efficiency","6","Non-Channelling Spells deal 6% increased Damage per 100 maximum Mana","3","Non-Channelling Skills have 3% increased Spell Critical Hit Chance per 100 maximum Mana","6","3","Non-Channelling Spells have 3% increased Critical Hit Chance per 100 maximum Life
rathpith surge [1]","","","","","","","","","","","","","","","","","","Spell","","","","","Energy Shield","","","https://cdn.poe2db.tw/image/Art/2DItems/Offhand/Foci/Uniques/RathpithGlobe.webp"
"1788938433-34","https://poe2db.tw/us/Unique_item#CultivatedUniques","Drillneck","(16—24)","(100—150)% increased Evasion Rating while Sprinting","(100—150)","Projectiles","Pierced","","","Hits","(8—12)","+(60—90) to maximum Life","Gain Deflection Rating equal to (24—32)% of Evasion Rating","+(60—90)","(8—12)% increased Attack Speed","(24—32)","Attack Projectiles Return if they Pierced at least (2—4) times","(16—24)% increased Projectile Speed","(2—4)","","1","Arrows Pierce 1 additional Targets","","(42—64)","Projectiles deal (42—64)% increased Damage with Hits for each time they have Pierced","","(42—64)","Projectiles have (42—64)% increased Critical Hit chance for each time they have Pierced","","","","","","","","","","","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DItems/Quivers/Uniques/Drillneck.webp"
"1788938433-35","https://poe2db.tw/us/Unique_item#CultivatedUniques","Zerphi's Serape","(15—30)","+(90—120) to maximum Energy Shield","+(90—120)","","","","","","(-30—30)","(-30—30)% reduced Life Regeneration rate","+(40—60) to maximum Mana","(-30—30)","(-30—30)% reduced Mana Regeneration Rate","+(40—60)","50% increased Attribute Requirements","(15—30)% increased Presence Area of Effect","50","(-30—30)% reduced Cost Efficiency","0.5","Eat a Soul when you Hit a Unique Enemy, no more than once every 0.5 seconds","(-30—30)","","Soul Eater","","","","","","","","","","","Presence","","","","","","","","","Energy Shield","","","","","","https://cdn.poe2db.tw/image/Art/2DItems/Armours/BodyArmours/Uniques/ZerphisSerape.webp"
"1788938433-36","https://poe2db.tw/us/Unique_item#CultivatedUniques","Belly of the Beast","(15—30)","(25—50)% increased Life Recovery from Flasks","(25—50)","","","","","","+(100—150)","(100—150)% increased Energy Shield","(100—150)% increased Armour and Evasion","(100—150)","+(100—150) to maximum Life","(100—150)","+(100—150) to Stun Threshold","(15—30)% increased Life Flask Charges gained","+(100—150)","+(220—320) to Armour","(5—10)","(5—10)% of Thorns Damage Leeched as Life","+(220—320)","","Life Recovery from Flasks is instant","","(25—30)","(25—30) to (35—40) Physical Thorns damage","","","","","","","","","","","","","","","","","","","","Energy Shield","","","https://cdn.poe2db.tw/image/Art/2DItems/Armours/BodyArmours/Uniques/BellyOfTheBeast.webp"
"1788938433-37","https://poe2db.tw/us/Unique_item#CultivatedUniques","The Covenant","(10—25)","(5—10)% increased maximum Life","(5—10)","","","","","","10","Skills Gain 100% of Mana Cost as Extra Life Cost","+(100—150) to maximum Life","100","10% of Spell Damage Leeched as Life","+(100—150)","","(10—25)% increased Life Cost Efficiency","","","(1—3)","Regenerate (1—3)% of maximum Life per second","","","","","","","","","","","","","","","","Leeched as Life","","","","","","","","","","","","","https://cdn.poe2db.tw/image/Art/2DItems/Armours/BodyArmours/Uniques/TheCovenant.webp"
"1788938433-38","https://poe2db.tw/us/Unique_item#CultivatedUniques","Cornathaum","(100—150)","(5—10)% increased Quantity of Gold Dropped by Slain Enemies","(5—10)","","","","","","(10—20)","+(40—50) to Intelligence","5% increased Experience gain","+(40—50)","(10—20)% increased Rarity of Items found","5","30% increased Light Radius","(100—150)% increased Armour and Energy Shield","30","","(25—50)","Increases and Reductions to Light Radius also apply to Area of Effect at (25—50)% of their value","","","","","","","","","","","","","","","","","","","","","","","","Intelligence","","","","","https://cdn.poe2db.tw/image/Art/2DItems/Armours/Helmets/Uniques/Cornathaum.webp"
"1788938433-39","https://poe2db.tw/us/Unique_item#CultivatedUniques","Atziri's Contempt","(100—150)","+(2—4)% to Critical Hit Chance","+(2—4)","","","","","","(83—97)","(100—120)% increased Physical Damage","Adds 1 to (193—207) Lightning Damage","(100—120)","Adds (83—97) to (123—153) Fire Damage","1","(10—16)% increased Attack Speed","(100—150)% increased Elemental Damage with Attacks","(10—16)","Projectiles have (50—75)% chance to Fork if you've dealt a Melee Hit in the past eight seconds","(15—30)","[HitDamage|Hits] have (15—30)% chance to treat Enemy Monster Elemental Resistance values as inverted","(50—75)","(60—80)","(60—80)% increased Presence Area of Effect","","","","","","","","","","","","","","","","","","","Attacks","","","","","","","https://cdn.poe2db.tw/image/Art/2DItems/Weapons/OneHandWeapons/OneHandSpears/Uniques/AtziriStaffBlood.webp"
