web_scraper_order,web_scraper_start_url,name,name2,name3,name4,name5,name6,name7,name8,name9,name10,name11,name12,name13,name14,name15,name16,name17,name18,name19,name20,name21,name22,name23,name24,name25,name26,name27,name28,name29,name30,name31,image
1788936683-15,https://poe2db.tw/us/Gem#SupportGems,Kaom's Madness,"Kaom's Madness (1)Support, Lineage, Attack, Melee","Support, Lineage, Attack, Melee",Support,,,,,,,,,,,,,Lineage,,Melee,,Attack,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DItems/Gems/New/NewSupport/Lineage/LineageKaom.webp
1788936683-16,https://poe2db.tw/us/Gem#SupportGems,Rusted Spikes,Rusted Spikes (1)Support,Support,Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/RustedSpikesSupport.webp
1788936683-17,https://poe2db.tw/us/Gem#SupportGems,Spar,"Spar (1)Support, Attack, Melee","Support, Attack, Melee",Support,,,,,,,,,,,,,,,Melee,,Attack,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/SparSupport.webp
1788936683-18,https://poe2db.tw/us/Gem#SupportGems,Uhtred's Augury,"Uhtred's Augury (1)Support, Lineage","Support, Lineage",Support,,,,,,,,,,,,,Lineage,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DItems/Gems/New/NewSupport/Lineage/LineageUhtredGreater.webp
1788936683-19,https://poe2db.tw/us/Gem#SupportGems,Uhtred's Exodus,"Uhtred's Exodus (1)Support, Lineage","Support, Lineage",Support,,,,,,,,,,,,,Lineage,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DItems/Gems/New/NewSupport/Lineage/LineageUhtredLesser.webp
1788936683-20,https://poe2db.tw/us/Gem#SupportGems,Uhtred's Omen,"Uhtred's Omen (1)Support, Lineage","Support, Lineage",Support,,,,,,,,,,,,,Lineage,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DItems/Gems/New/NewSupport/Lineage/LineageUhtredStandard.webp
1788936683-21,https://poe2db.tw/us/Gem#SupportGems,Uruk's Smelting,"Uruk's Smelting (1)Support, Lineage, Physical","Support, Lineage, Physical",Support,,,,,,,,,,,,Physical,Lineage,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DItems/Gems/New/NewSupport/Lineage/LineageArmourBreak.webp
1788936683-22,https://poe2db.tw/us/Gem#SupportGems,Uul-Netol's Embrace,"Uul-Netol's Embrace (1)Support, Lineage, Physical, Chaos","Support, Lineage, Physical, Chaos",Support,,,,,Chaos,,,,,,,Physical,Lineage,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DItems/Gems/New/NewSupport/Lineage/LineageUulNetol.webp
1788936683-23,https://poe2db.tw/us/Gem#SupportGems,Vruun's Inevitability,"Vruun's Inevitability (1)Support, Lineage, Attack, Melee, Conditional","Support, Lineage, Attack, Melee, Conditional",Support,,,,Conditional,,,,,,,,,Lineage,,Melee,,Attack,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DItems/Gems/New/NewSupport/Lineage/VruunsSpike.webp
1788936683-24,https://poe2db.tw/us/Gem#SupportGems,Xoph's Pyre,"Xoph's Pyre (1)Support, Lineage, Fire, Chaos","Support, Lineage, Fire, Chaos",Support,,,,,Chaos,,,,,Fire,,,Lineage,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DItems/Gems/New/NewSupport/Lineage/LineageXoph.webp
1788936683-25,https://poe2db.tw/us/Gem#SupportGems,Zerphi's Infamy,"Zerphi's Infamy (1)Support, Lineage, Warcry","Support, Lineage, Warcry",Support,,,,,,,Warcry,,,,,,Lineage,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DItems/Gems/New/NewSupport/Lineage/ZerphisLegacy.webp
1788936683-26,https://poe2db.tw/us/Gem#SupportGems,Fire Attunement,"Fire Attunement (1)Support, Fire","Support, Fire",Support,,,,,,,,,,Fire,,,,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/AddedFireDamageSupport.webp
1788936683-27,https://poe2db.tw/us/Gem#SupportGems,Armour Demolisher I,Armour Demolisher I (1)Support,Support,Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/IncreasedArmourBreakSupport.webp
1788936683-28,https://poe2db.tw/us/Gem#SupportGems,Armour Explosion,"Armour Explosion (1)Support, Attack, Warcry, AoE, Trigger, Fire, Payoff","Support, Attack, Warcry, AoE, Trigger, Fire, Payoff",Support,,,,,,,Warcry,,,Fire,,,,,,,Attack,,,Trigger,AoE,,,,,,Payoff,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/ArmourExplosionSupport.webp
1788936683-29,https://poe2db.tw/us/Gem#SupportGems,Battershout,"Battershout (1)Support, Warcry, AoE, Trigger, Physical, Payoff","Support, Warcry, AoE, Trigger, Physical, Payoff",Support,,,,,,,Warcry,,,,,Physical,,,,,,,,Trigger,AoE,,,,,,Payoff,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/BattershoutSupport.webp
1788936683-30,https://poe2db.tw/us/Gem#SupportGems,Bleed I,"Bleed I (1)Support, Physical","Support, Physical",Support,,,,,,,,,,,,Physical,,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/ChanceToBleedSupport.webp
1788936683-31,https://poe2db.tw/us/Gem#SupportGems,Brink I,"Brink I (1)Support, Attack, Melee","Support, Attack, Melee",Support,,,,,,,,,,,,,,,Melee,,Attack,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/BrinkSupport.webp
1788936683-32,https://poe2db.tw/us/Gem#SupportGems,Brutality I,"Brutality I (1)Support, Physical","Support, Physical",Support,,,,,,,,,,,,Physical,,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/BrutalitySupport.webp
1788936683-33,https://poe2db.tw/us/Gem#SupportGems,Compressed Duration I,"Compressed Duration I (1)Support, Duration","Support, Duration",Support,,,,,,,,,,,,,,,,,,,,,,Duration,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/LessDurationSupport.webp
1788936683-34,https://poe2db.tw/us/Gem#SupportGems,Double Barrel I,"Double Barrel I (1)Support, Ammunition, Projectile","Support, Ammunition, Projectile",Support,Ammunition,,,,,,,,Projectile,,,,,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/DoubleBarrelSupport.webp
1788936683-35,https://poe2db.tw/us/Gem#SupportGems,Efficiency I,Efficiency I (1)Support,Support,Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/Inspiration.webp
1788936683-36,https://poe2db.tw/us/Gem#SupportGems,Elemental Armament I,"Elemental Armament I (1)Support, Attack","Support, Attack",Support,,,,,,,,,,,,,,,,,Attack,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/WeaponElementalDamageSupport.webp
1788936683-37,https://poe2db.tw/us/Gem#SupportGems,Execute I,Execute I (1)Support,Support,Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/ExecuteSupport.webp
1788936683-38,https://poe2db.tw/us/Gem#SupportGems,Fist of War I,"Fist of War I (1)Support, Attack, Melee, Slam","Support, Attack, Melee, Slam",Support,,,,,,,,,,,,,,,Melee,,Attack,,,,,,,,,Slam,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/FistOfWarSupport.webp
1788936683-39,https://poe2db.tw/us/Gem#SupportGems,Enduring Impact I,Enduring Impact I (1)Support,Support,Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/EnduranceOnHeavyStunSupport.webp
1788936683-40,https://poe2db.tw/us/Gem#SupportGems,Eternal Flame I,"Eternal Flame I (1)Support, Fire","Support, Fire",Support,,,,,,,,,,Fire,,,,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/EternalFlameSupport.webp
1788936683-41,https://poe2db.tw/us/Gem#SupportGems,Ignite I,"Ignite I (1)Support, Fire","Support, Fire",Support,,,,,,,,,,Fire,,,,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/IgnitionSupport.webp
1788936683-42,https://poe2db.tw/us/Gem#SupportGems,Impact Shockwave,"Impact Shockwave (1)Support, Attack, AoE, Melee, Strike","Support, Attack, AoE, Melee, Strike",Support,,,,,,,,,,,Strike,,,,Melee,,Attack,,,,AoE,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/ImpactShockwaveSupport.webp
1788936683-43,https://poe2db.tw/us/Gem#SupportGems,Meat Shield I,"Meat Shield I (1)Support, Minion","Support, Minion",Support,,,,,,,,,,,,,,Minion,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/MeatShield.webp
1788936683-44,https://poe2db.tw/us/Gem#SupportGems,Opening Move,Opening Move (1)Support,Support,Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/OpeningMoveSupport.webp
1788936683-45,https://poe2db.tw/us/Gem#SupportGems,Prolonged Duration I,"Prolonged Duration I (1)Support, Duration","Support, Duration",Support,,,,,,,,,,,,,,,,,,,,,,Duration,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/MoreDurationSupport.webp
1788936683-46,https://poe2db.tw/us/Gem#SupportGems,Rage I,"Rage I (1)Support, Attack, Melee","Support, Attack, Melee",Support,,,,,,,,,,,,,,,Melee,,Attack,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/RageSupport.webp
1788936683-47,https://poe2db.tw/us/Gem#SupportGems,Steadfast I,"Steadfast I (1)Support, Channelling","Support, Channelling",Support,,,,,,,,Channelling,,,,,,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/ChannellingAilmentThresholdSupport.webp
1788936683-48,https://poe2db.tw/us/Gem#SupportGems,Stomping Ground,"Stomping Ground (1)Support, Attack, AoE, Trigger","Support, Attack, AoE, Trigger",Support,,,,,,,,,,,,,,,,,Attack,,,Trigger,AoE,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/StompingGroundSupport.webp
1788936683-49,https://poe2db.tw/us/Gem#SupportGems,Tireless,"Tireless (1)Support, Warcry","Support, Warcry",Support,,,,,,,Warcry,,,,,,,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/TirelessSupport.webp
1788936683-50,https://poe2db.tw/us/Gem#SupportGems,Upheaval I,Upheaval I (1)Support,Support,Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/UpheavalSupport.webp
1788936683-51,https://poe2db.tw/us/Gem#SupportGems,Vanguard I,Vanguard I (1)Support,Support,Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/GuardonStunSupport.webp
1788936683-52,https://poe2db.tw/us/Gem#SupportGems,Vitality I,"Vitality I (1)Support, Buff, Persistent","Support, Buff, Persistent",Support,,,,,,,,,,,,,,,,,,,,,,,,Persistent,Buff,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/VitalitySupport.webp
1788936683-53,https://poe2db.tw/us/Gem#SupportGems,Aftershock I,"Aftershock I (2)Support, Attack, Melee, Slam","Support, Attack, Melee, Slam",Support,,,,,,,,,,,,,,,Melee,,Attack,,,,,,,,,Slam,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/AftershockSupport.webp
1788936683-54,https://poe2db.tw/us/Gem#SupportGems,Armour Break I,"Armour Break I (2)Support, Physical","Support, Physical",Support,,,,,,,,,,,,Physical,,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/ArmourBreakSupport.webp
1788936683-55,https://poe2db.tw/us/Gem#SupportGems,Behead I,"Behead I (2)Support, Attack, Melee, Strike","Support, Attack, Melee, Strike",Support,,,,,,,,,,,Strike,,,,Melee,,Attack,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/BeheadSupport.webp
1788936683-56,https://poe2db.tw/us/Gem#SupportGems,Font of Blood,"Font of Blood (2)Support, Totem","Support, Totem",Support,,,,,,Totem,,,,,,,,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/FontOfBloodSupport.webp
1788936683-57,https://poe2db.tw/us/Gem#SupportGems,Lifetap,Lifetap (2)Support,Support,Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/BloodMagicSupport.webp
1788936683-58,https://poe2db.tw/us/Gem#SupportGems,Brutality II,"Brutality II (2)Support, Physical","Support, Physical",Support,,,,,,,,,,,,Physical,,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/BrutalitySupport.webp
1788936683-59,https://poe2db.tw/us/Gem#SupportGems,Concoct I,Concoct I (2)Support,Support,Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/ConcoctSupport.webp
1788936683-60,https://poe2db.tw/us/Gem#SupportGems,Crater,"Crater (2)Support, Attack, AoE, Melee, Trigger, Fire, Duration","Support, Attack, AoE, Melee, Trigger, Fire, Duration",Support,,,,,,,,,,Fire,,,,,Melee,,Attack,,,Trigger,AoE,Duration,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/FissureOnLandingSupport.webp
1788936683-61,https://poe2db.tw/us/Gem#SupportGems,Defy I,"Defy I (2)Support, Attack","Support, Attack",Support,,,,,,,,,,,,,,,,,Attack,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/DefySupport.webp
1788936683-62,https://poe2db.tw/us/Gem#SupportGems,Direstrike I,"Direstrike I (2)Support, Buff, Persistent","Support, Buff, Persistent",Support,,,,,,,,,,,,,,,,,,,,,,,,Persistent,Buff,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/DireStrikeSupport.webp
1788936683-63,https://poe2db.tw/us/Gem#SupportGems,Double Barrel II,"Double Barrel II (2)Support, Ammunition, Projectile","Support, Ammunition, Projectile",Support,Ammunition,,,,,,,,Projectile,,,,,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/DoubleBarrelSupport.webp
1788936683-64,https://poe2db.tw/us/Gem#SupportGems,Elemental Armament II,"Elemental Armament II (2)Support, Attack","Support, Attack",Support,,,,,,,,,,,,,,,,,Attack,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/WeaponElementalDamageSupport.webp
1788936683-65,https://poe2db.tw/us/Gem#SupportGems,Exploit Weakness,"Exploit Weakness (2)Support, Payoff","Support, Payoff",Support,,,,,,,,,,,,,,,,,,,,,,,,,,,Payoff,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/ExploitWeaknessSupport.webp
1788936683-66,https://poe2db.tw/us/Gem#SupportGems,Fan The Flames,"Fan The Flames (2)Support, Attack, AoE, Trigger, Fire","Support, Attack, AoE, Trigger, Fire",Support,,,,,,,,,,Fire,,,,,,,Attack,,,Trigger,AoE,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/FanTheFlames.webp
1788936683-67,https://poe2db.tw/us/Gem#SupportGems,Fire Penetration I,"Fire Penetration I (2)Support, Fire","Support, Fire",Support,,,,,,,,,,Fire,,,,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/FirePenetrationSupport.webp
1788936683-68,https://poe2db.tw/us/Gem#SupportGems,Fresh Clip I,Fresh Clip I (2)Support,Support,Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/DamagePerBoltReloadedRecentlySupport.webp
1788936683-69,https://poe2db.tw/us/Gem#SupportGems,Hardy Totems I,"Hardy Totems I (2)Support, Totem","Support, Totem",Support,,,,,,Totem,,,,,,,,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/MoreTotemLifeSupport.webp
1788936683-70,https://poe2db.tw/us/Gem#SupportGems,Herbalism I,"Herbalism I (2)Support, Buff, Persistent","Support, Buff, Persistent",Support,,,,,,,,,,,,,,,,,,,,,,,,Persistent,Buff,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/HerbalismSupport.webp
1788936683-71,https://poe2db.tw/us/Gem#SupportGems,Infernal Legion I,"Infernal Legion I (2)Support, Minion, AoE, Fire","Support, Minion, AoE, Fire",Support,,,,,,,,,,Fire,,,,Minion,,,,,,,AoE,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/InfernalLegionSupport.webp
1788936683-72,https://poe2db.tw/us/Gem#SupportGems,Jagged Ground I,"Jagged Ground I (2)Support, Attack, AoE, Melee, Slam, Duration","Support, Attack, AoE, Melee, Slam, Duration",Support,,,,,,,,,,,,,,,Melee,,Attack,,,,AoE,Duration,,,,Slam,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/JaggedGroundSupport.webp
1788936683-73,https://poe2db.tw/us/Gem#SupportGems,Life Leech I,"Life Leech I (2)Support, Attack, Physical","Support, Attack, Physical",Support,,,,,,,,,,,,Physical,,,,,Attack,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/LifeLeechSupport.webp
1788936683-74,https://poe2db.tw/us/Gem#SupportGems,Mark for Death,"Mark for Death (2)Support, Mark, Physical","Support, Mark, Physical",Support,,,,,,,,,,,,Physical,,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/SingleOutSupport.webp
1788936683-75,https://poe2db.tw/us/Gem#SupportGems,Minion Splash I,"Minion Splash I (2)Support, Attack, Minion, Melee, Strike","Support, Attack, Minion, Melee, Strike",Support,,,,,,,,,,,Strike,,,Minion,Melee,,Attack,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/MinionMeleeSplashSupport.webp
1788936683-76,https://poe2db.tw/us/Gem#SupportGems,Persistent Ground I,Persistent Ground I (2)Support,Support,Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/DomainSupport.webp
1788936683-77,https://poe2db.tw/us/Gem#SupportGems,Raging Cry,"Raging Cry (2)Support, Warcry","Support, Warcry",Support,,,,,,,Warcry,,,,,,,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/RagingCrySupport.webp
1788936683-78,https://poe2db.tw/us/Gem#SupportGems,Refraction I,"Refraction I (2)Support, Buff, Persistent","Support, Buff, Persistent",Support,,,,,,,,,,,,,,,,,,,,,,,,Persistent,Buff,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/TemperedValourSupport.webp
1788936683-79,https://poe2db.tw/us/Gem#SupportGems,Remnant Potency I,"Remnant Potency I (2)Support, Remnant","Support, Remnant",Support,,,,,,,,,,,,,,,,,,,,,,,Remnant,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/InterludeSupport.webp
1788936683-80,https://poe2db.tw/us/Gem#SupportGems,Retaliate I,"Retaliate I (2)Support, Attack, Melee","Support, Attack, Melee",Support,,,,,,,,,,,,,,,Melee,,Attack,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/SteelyNerveSupport.webp
1788936683-81,https://poe2db.tw/us/Gem#SupportGems,Selfless Remnants,"Selfless Remnants (2)Support, Remnant","Support, Remnant",Support,,,,,,,,,,,,,,,,,,,,,,,Remnant,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/FigureheadSupport.webp
1788936683-82,https://poe2db.tw/us/Gem#SupportGems,Short Fuse I,Short Fuse I (2)Support,Support,Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/ExpediteSupport.webp
1788936683-83,https://poe2db.tw/us/Gem#SupportGems,Skittering Stone I,"Skittering Stone I (2)Support, Minion, Trigger, Physical, Duration","Support, Minion, Trigger, Physical, Duration",Support,,,,,,,,,,,,Physical,,Minion,,,,,,Trigger,,Duration,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/SkitteringStone.webp
1788936683-84,https://poe2db.tw/us/Gem#SupportGems,Tectonic Slams,"Tectonic Slams (2)Support, Attack, Melee, Slam","Support, Attack, Melee, Slam",Support,,,,,,,,,,,,,,,Melee,,Attack,,,,,,,,,Slam,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/CascadingSlams.webp
1788936683-85,https://poe2db.tw/us/Gem#SupportGems,Stun I,Stun I (2)Support,Support,Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/OverpowerSupport.webp
1788936683-86,https://poe2db.tw/us/Gem#SupportGems,Thornskin I,"Thornskin I (2)Support, Buff, Persistent","Support, Buff, Persistent",Support,,,,,,,,,,,,,,,,,,,,,,,,Persistent,Buff,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/ThornskinSupport.webp
1788936683-87,https://poe2db.tw/us/Gem#SupportGems,Urgent Totems I,"Urgent Totems I (2)Support, Totem","Support, Totem",Support,,,,,,Totem,,,,,,,,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/TotemPlacementSpeedSupport.webp
1788936683-88,https://poe2db.tw/us/Gem#SupportGems,Vanguard II,Vanguard II (2)Support,Support,Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.poe2db.tw/image/Art/2DArt/SkillIcons/Support/GuardonStunSupport.webp
